Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F
systematic,0.75,80,1.73,6.0,8.0,52.0,30.0
systematic,0.75,80,1.73,6.0,8.0,62.0,20.0
systematic,0.75,80,1.73,10.0,10.0,54.0,60.0
systematic,0.75,80,1.73,10.0,10.0,54.0,64.0
systematic,0.75,80,1.73,8.0,14.0,32.0,44.0
systematic,0.75,80,1.73,6.0,6.0,46.0,56.0
systematic,0.75,80,1.73,8.0,10.0,44.0,46.0
systematic,0.75,80,1.73,10.0,12.0,32.0,60.0
systematic,0.75,80,1.73,8.0,8.0,42.0,70.0
systematic,0.75,80,1.73,8.0,10.0,42.0,68.0
systematic,0.75,80,1.73,8.0,12.0,12.0,50.0
systematic,0.75,80,1.73,8.0,8.0,52.0,70.0
systematic,0.75,80,1.73,8.0,10.0,50.0,24.0
systematic,0.75,80,1.73,8.0,8.0,28.0,62.0
systematic,0.75,80,1.73,8.0,10.0,30.0,46.0
systematic,0.75,80,1.73,6.0,8.0,28.0,38.0
systematic,0.75,80,1.73,8.0,12.0,28.0,36.0
systematic,0.75,80,1.73,8.0,10.0,32.0,64.0
systematic,0.75,80,1.73,8.0,12.0,38.0,70.0
systematic,0.75,80,1.73,8.0,10.0,66.0,38.0
systematic,0.75,80,1.73,8.0,10.0,32.0,52.0
systematic,0.75,80,1.73,8.0,12.0,32.0,48.0
systematic,0.75,80,1.73,8.0,10.0,32.0,54.0
systematic,0.75,80,1.73,6.0,6.0,22.0,40.0
systematic,0.75,80,1.73,8.0,10.0,30.0,48.0
systematic,0.75,80,1.73,8.0,8.0,30.0,52.0
systematic,0.75,80,1.73,10.0,10.0,36.0,52.0
systematic,0.75,80,1.73,10.0,10.0,22.0,22.0
systematic,0.75,80,1.73,8.0,8.0,52.0,32.0
systematic,0.75,80,1.73,12.0,12.0,46.0,48.0
systematic,0.75,80,1.73,8.0,10.0,34.0,58.0
systematic,0.75,80,1.73,8.0,8.0,48.0,20.0
systematic,0.75,80,1.73,8.0,10.0,48.0,42.0
systematic,0.75,80,1.73,6.0,10.0,36.0,46.0
systematic,0.75,80,1.73,8.0,10.0,62.0,66.0
systematic,0.75,80,1.73,10.0,12.0,28.0,48.0
systematic,0.75,80,1.73,12.0,14.0,32.0,58.0
systematic,0.75,80,1.73,8.0,10.0,38.0,66.0
systematic,0.75,80,1.73,10.0,10.0,56.0,32.0
systematic,0.75,80,1.73,10.0,10.0,52.0,56.0
systematic,0.75,80,1.73,8.0,8.0,44.0,70.0
systematic,0.75,80,1.73,10.0,12.0,40.0,54.0
systematic,0.75,80,1.73,10.0,12.0,46.0,38.0
systematic,0.75,80,1.73,8.0,10.0,38.0,20.0
systematic,0.75,80,1.73,6.0,8.0,14.0,62.0
systematic,0.75,80,1.73,8.0,8.0,26.0,66.0
systematic,0.75,80,1.73,8.0,8.0,38.0,60.0
systematic,0.75,80,1.73,12.0,12.0,28.0,40.0
systematic,0.75,80,1.73,10.0,12.0,46.0,28.0
systematic,0.75,80,1.73,6.0,8.0,32.0,54.0
systematic,0.75,80,1.73,6.0,6.0,58.0,10.0
systematic,0.75,80,1.73,14.0,14.0,54.0,72.0
systematic,0.75,80,1.73,4.0,6.0,26.0,14.0
systematic,0.75,80,1.73,8.0,10.0,18.0,60.0
systematic,0.75,80,1.73,6.0,8.0,44.0,54.0
systematic,0.75,80,1.73,8.0,10.0,50.0,56.0
systematic,0.75,80,1.73,8.0,8.0,34.0,58.0
systematic,0.75,80,1.73,6.0,6.0,52.0,26.0
systematic,0.75,80,1.73,6.0,8.0,60.0,70.0
systematic,0.75,80,1.73,12.0,16.0,46.0,58.0
systematic,0.75,80,1.73,10.0,10.0,34.0,50.0
systematic,0.75,80,1.73,4.0,6.0,14.0,36.0
systematic,0.75,80,1.73,8.0,10.0,52.0,46.0
systematic,0.75,80,1.73,8.0,10.0,30.0,54.0
systematic,0.75,80,1.73,6.0,8.0,32.0,54.0
systematic,0.75,80,1.73,8.0,10.0,42.0,56.0
systematic,0.75,80,1.73,8.0,12.0,66.0,44.0
systematic,0.75,80,1.73,6.0,8.0,40.0,14.0
systematic,0.75,80,1.73,10.0,10.0,38.0,52.0
systematic,0.75,80,1.73,6.0,6.0,10.0,62.0
systematic,0.75,80,1.73,6.0,8.0,64.0,52.0
systematic,0.75,80,1.73,8.0,10.0,52.0,16.0
systematic,0.75,80,1.73,8.0,10.0,40.0,54.0
systematic,0.75,80,1.73,10.0,10.0,26.0,52.0
systematic,0.75,80,1.73,8.0,12.0,36.0,50.0
systematic,0.75,80,1.73,6.0,6.0,12.0,58.0
systematic,0.75,80,1.73,6.0,8.0,46.0,28.0
systematic,0.75,80,1.73,6.0,6.0,20.0,38.0
systematic,0.75,80,1.73,8.0,10.0,28.0,56.0
systematic,0.75,80,1.73,8.0,10.0,36.0,38.0
systematic,0.75,80,1.73,8.0,8.0,62.0,68.0
systematic,0.75,80,1.73,6.0,8.0,40.0,46.0
systematic,0.75,80,1.73,6.0,8.0,50.0,54.0
systematic,0.75,80,1.73,8.0,10.0,40.0,40.0
systematic,0.75,80,1.73,10.0,10.0,34.0,62.0
systematic,0.75,80,1.73,10.0,12.0,46.0,22.0
systematic,0.75,80,1.73,8.0,10.0,46.0,18.0
systematic,0.75,80,1.73,10.0,10.0,38.0,28.0
systematic,0.75,80,1.73,10.0,10.0,38.0,74.0
systematic,0.75,80,1.73,8.0,8.0,32.0,46.0
systematic,0.75,80,1.73,8.0,10.0,16.0,50.0
systematic,0.75,80,1.73,8.0,10.0,34.0,48.0
systematic,0.75,80,1.73,8.0,8.0,26.0,60.0
systematic,0.75,80,1.73,10.0,10.0,46.0,34.0
systematic,0.75,80,1.73,8.0,10.0,44.0,60.0
systematic,0.75,80,1.73,6.0,6.0,28.0,38.0
systematic,0.75,80,1.73,8.0,10.0,10.0,52.0
systematic,0.75,80,1.73,10.0,12.0,42.0,72.0
systematic,0.75,80,1.73,6.0,10.0,44.0,70.0
systematic,0.75,80,1.73,6.0,8.0,38.0,70.0
systematic,0.75,80,1.73,8.0,12.0,56.0,26.0
systematic,0.75,80,1.73,8.0,10.0,32.0,64.0
systematic,0.75,80,1.73,10.0,12.0,28.0,52.0
systematic,0.75,80,1.73,8.0,14.0,40.0,38.0
systematic,0.75,80,1.73,16.0,22.0,56.0,30.0
systematic,0.75,80,1.73,8.0,8.0,26.0,44.0
systematic,0.75,80,1.73,10.0,12.0,64.0,32.0
systematic,0.75,80,1.73,8.0,12.0,34.0,46.0
systematic,0.75,80,1.73,14.0,14.0,32.0,68.0
systematic,0.75,80,1.73,10.0,12.0,54.0,38.0
systematic,0.75,80,1.73,10.0,12.0,32.0,50.0
systematic,0.75,80,1.73,4.0,6.0,14.0,46.0
systematic,0.75,80,1.73,8.0,12.0,32.0,50.0
systematic,0.75,80,1.73,4.0,4.0,62.0,44.0
systematic,0.75,80,1.73,6.0,8.0,60.0,26.0
systematic,0.75,80,1.73,6.0,8.0,42.0,50.0
systematic,0.75,80,1.73,8.0,10.0,32.0,44.0
systematic,0.75,80,1.73,8.0,10.0,30.0,72.0
systematic,0.75,80,1.73,8.0,8.0,56.0,42.0
systematic,0.75,80,1.73,10.0,12.0,28.0,62.0
systematic,0.75,80,1.73,10.0,10.0,52.0,58.0
systematic,0.75,80,1.73,14.0,18.0,34.0,40.0
systematic,0.75,80,1.73,8.0,10.0,28.0,32.0
systematic,0.75,80,1.73,8.0,10.0,32.0,60.0
systematic,0.75,80,1.73,12.0,14.0,44.0,44.0
systematic,0.75,80,1.73,4.0,6.0,22.0,52.0
systematic,0.75,80,1.73,8.0,8.0,56.0,28.0
systematic,0.75,80,1.73,12.0,14.0,44.0,54.0
systematic,0.75,80,1.73,8.0,8.0,48.0,68.0
systematic,0.75,80,1.73,8.0,10.0,50.0,68.0
systematic,0.75,80,1.73,6.0,8.0,30.0,54.0
systematic,0.75,80,1.73,10.0,12.0,38.0,48.0
systematic,0.75,80,1.73,6.0,8.0,34.0,52.0
systematic,0.75,80,1.73,10.0,10.0,56.0,38.0
systematic,0.75,80,1.73,8.0,14.0,52.0,42.0
systematic,0.75,80,1.73,8.0,8.0,28.0,70.0
systematic,0.75,80,1.73,6.0,8.0,32.0,64.0
systematic,0.75,80,1.73,6.0,8.0,52.0,22.0
systematic,0.75,80,1.73,6.0,6.0,14.0,54.0
systematic,0.75,80,1.73,8.0,10.0,32.0,62.0
systematic,0.75,80,1.73,6.0,8.0,16.0,46.0
systematic,0.75,80,1.73,8.0,10.0,36.0,48.0
systematic,0.75,80,1.73,10.0,10.0,40.0,60.0
systematic,0.75,80,1.73,6.0,8.0,44.0,52.0
systematic,0.75,80,1.73,6.0,8.0,32.0,64.0
systematic,0.75,80,1.73,10.0,12.0,60.0,30.0
systematic,0.75,80,1.73,8.0,12.0,68.0,50.0
systematic,0.75,80,1.73,6.0,10.0,32.0,62.0
systematic,0.75,80,1.73,10.0,12.0,44.0,38.0
systematic,0.75,80,1.73,10.0,12.0,40.0,50.0
systematic,0.75,80,1.73,8.0,8.0,46.0,54.0
systematic,0.75,80,1.73,8.0,8.0,60.0,44.0
systematic,0.75,80,1.73,12.0,14.0,42.0,62.0
systematic,0.75,80,1.73,10.0,12.0,50.0,72.0
systematic,0.75,80,1.73,10.0,12.0,56.0,32.0
