Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F
systematic,0.95,50,0.98,12.0,18.0,40.0,38.0
systematic,0.95,50,0.98,4.0,6.0,28.0,22.0
systematic,0.95,50,0.98,6.0,10.0,40.0,38.0
systematic,0.95,50,0.98,8.0,12.0,26.0,28.0
systematic,0.95,50,0.98,8.0,12.0,32.0,34.0
systematic,0.95,50,0.98,10.0,12.0,21.0,34.0
systematic,0.95,50,0.98,6.0,6.0,27.0,27.0
systematic,0.95,50,0.98,4.0,6.0,35.0,28.0
systematic,0.95,50,0.98,4.0,4.0,26.0,32.0
systematic,0.95,50,0.98,6.0,8.0,30.0,32.0
systematic,0.95,50,0.98,6.0,8.0,34.0,32.0
systematic,0.95,50,0.98,6.0,10.0,36.0,36.0
systematic,0.95,50,0.98,14.0,16.0,42.0,34.0
systematic,0.95,50,0.98,4.0,4.0,32.0,36.0
systematic,0.95,50,0.98,20.0,20.0,22.0,47.0
systematic,0.95,50,0.98,10.0,12.0,22.0,22.0
systematic,0.95,50,0.98,8.0,10.0,44.0,44.0
systematic,0.95,50,0.98,16.0,22.0,32.0,36.0
systematic,0.95,50,0.98,2.0,2.0,22.0,22.0
systematic,0.95,50,0.98,8.0,10.0,24.0,32.0
systematic,0.95,50,0.98,8.0,10.0,29.0,29.0
systematic,0.95,50,0.98,4.0,6.0,34.0,18.0
systematic,0.95,50,0.98,20.0,22.0,42.0,42.0
systematic,0.95,50,0.98,12.0,16.0,32.0,32.0
systematic,0.95,50,0.98,6.0,8.0,32.0,34.0
systematic,0.95,50,0.98,10.0,12.0,27.0,26.0
systematic,0.95,50,0.98,10.0,10.0,34.0,36.0
systematic,0.95,50,0.98,14.0,20.0,44.0,38.0
systematic,0.95,50,0.98,10.0,22.0,39.0,30.0
systematic,0.95,50,0.98,18.0,18.0,28.0,32.0
systematic,0.95,50,0.98,24.0,26.0,46.0,45.0
systematic,0.95,50,0.98,6.0,6.0,36.0,28.0
systematic,0.95,50,0.98,6.0,8.0,36.0,36.0
systematic,0.95,50,0.98,12.0,16.0,32.0,31.0
systematic,0.95,50,0.98,6.0,6.0,32.0,28.0
systematic,0.95,50,0.98,4.0,8.0,32.0,38.0
systematic,0.95,50,0.98,6.0,8.0,16.0,16.0
systematic,0.95,50,0.98,14.0,24.0,34.0,42.0
systematic,0.95,50,0.98,4.0,4.0,28.0,18.0
systematic,0.95,50,0.98,12.0,14.0,38.0,24.0
systematic,0.95,50,0.98,14.0,16.0,28.0,40.0
systematic,0.95,50,0.98,12.0,14.0,36.0,28.0
systematic,0.95,50,0.98,2.0,2.0,28.0,26.0
systematic,0.95,50,0.98,6.0,8.0,38.0,26.0
systematic,0.95,50,0.98,10.0,12.0,26.0,26.0
systematic,0.95,50,0.98,6.0,8.0,30.0,35.0
systematic,0.95,50,0.98,14.0,16.0,30.0,34.0
systematic,0.95,50,0.98,8.0,10.0,30.0,30.0
systematic,0.95,50,0.98,4.0,12.0,30.0,30.0
systematic,0.95,50,0.98,10.0,14.0,46.0,36.0
systematic,0.95,50,0.98,6.0,10.0,38.0,36.0
systematic,0.95,50,0.98,26.0,26.0,44.0,43.0
systematic,0.95,50,0.98,6.0,8.0,34.0,38.0
systematic,0.95,50,0.98,8.0,8.0,28.0,24.0
systematic,0.95,50,0.98,4.0,14.0,32.0,34.0
systematic,0.95,50,0.98,8.0,12.0,36.0,31.0
systematic,0.95,50,0.98,8.0,14.0,36.0,34.0
systematic,0.95,50,0.98,2.0,6.0,30.0,28.0
systematic,0.95,50,0.98,8.0,12.0,36.0,38.0
systematic,0.95,50,0.98,10.0,12.0,30.0,30.0
systematic,0.95,50,0.98,20.0,22.0,42.0,46.0
systematic,0.95,50,0.98,4.0,8.0,30.0,32.0
systematic,0.95,50,0.98,10.0,12.0,38.0,38.0
systematic,0.95,50,0.98,4.0,8.0,22.0,20.0
systematic,0.95,50,0.98,6.0,28.0,40.0,40.0
systematic,0.95,50,0.98,2.0,10.0,36.0,32.0
systematic,0.95,50,0.98,2.0,4.0,33.0,20.0
systematic,0.95,50,0.98,8.0,10.0,25.0,18.0
systematic,0.95,50,0.98,2.0,10.0,24.0,22.0
systematic,0.95,50,0.98,22.0,28.0,40.0,42.0
systematic,0.95,50,0.98,10.0,10.0,34.0,36.0
systematic,0.95,50,0.98,10.0,10.0,30.0,28.0
systematic,0.95,50,0.98,10.0,10.0,26.0,26.0
systematic,0.95,50,0.98,10.0,14.0,30.0,30.0
systematic,0.95,50,0.98,6.0,6.0,34.0,36.0
systematic,0.95,50,0.98,6.0,6.0,26.0,24.0
systematic,0.95,50,0.98,8.0,10.0,38.0,26.0
systematic,0.95,50,0.98,10.0,12.0,24.0,24.0
systematic,0.95,50,0.98,4.0,8.0,24.0,22.0
systematic,0.95,50,0.98,8.0,14.0,42.0,32.0
systematic,0.95,50,0.98,14.0,18.0,31.0,26.0
systematic,0.95,50,0.98,2.0,8.0,32.0,40.0
systematic,0.95,50,0.98,10.0,14.0,34.0,32.0
systematic,0.95,50,0.98,6.0,8.0,33.0,30.0
systematic,0.95,50,0.98,2.0,4.0,16.0,22.0
systematic,0.95,50,0.98,14.0,16.0,38.0,30.0
systematic,0.95,50,0.98,12.0,12.0,36.0,38.0
systematic,0.95,50,0.98,8.0,8.0,38.0,37.0
systematic,0.95,50,0.98,12.0,12.0,38.0,40.0
systematic,0.95,50,0.98,4.0,6.0,26.0,26.0
systematic,0.95,50,0.98,2.0,6.0,30.0,30.0
systematic,0.95,50,0.98,18.0,18.0,20.0,26.0
systematic,0.95,50,0.98,12.0,12.0,36.0,29.0
systematic,0.95,50,0.98,14.0,14.0,38.0,30.0
systematic,0.95,50,0.98,12.0,14.0,42.0,32.0
systematic,0.95,50,0.98,8.0,10.0,24.0,30.0
systematic,0.95,50,0.98,10.0,10.0,42.0,30.0
systematic,0.95,50,0.98,8.0,10.0,36.0,36.0
systematic,0.95,50,0.98,10.0,12.0,42.0,32.0
systematic,0.95,50,0.98,12.0,16.0,30.0,34.0
systematic,0.95,50,0.98,4.0,12.0,26.0,35.0
systematic,0.95,50,0.98,4.0,8.0,22.0,22.0
systematic,0.95,50,0.98,6.0,12.0,29.0,22.0
systematic,0.95,50,0.98,10.0,12.0,42.0,32.0
systematic,0.95,50,0.98,4.0,6.0,36.0,34.0
systematic,0.95,50,0.98,10.0,10.0,32.0,29.0
systematic,0.95,50,0.98,4.0,4.0,34.0,28.0
systematic,0.95,50,0.98,12.0,16.0,36.0,26.0
systematic,0.95,50,0.98,6.0,8.0,32.0,30.0
systematic,0.95,50,0.98,6.0,8.0,16.0,20.0
systematic,0.95,50,0.98,4.0,16.0,34.0,38.0
systematic,0.95,50,0.98,6.0,14.0,36.0,36.0
systematic,0.95,50,0.98,6.0,10.0,39.0,26.0
systematic,0.95,50,0.98,8.0,12.0,34.0,34.0
systematic,0.95,50,0.98,4.0,4.0,32.0,30.0
systematic,0.95,50,0.98,20.0,22.0,34.0,38.0
systematic,0.95,50,0.98,6.0,6.0,12.0,14.0
systematic,0.95,50,0.98,4.0,8.0,27.0,20.0
systematic,0.95,50,0.98,14.0,14.0,36.0,38.0
systematic,0.95,50,0.98,4.0,6.0,20.0,22.0
systematic,0.95,50,0.98,6.0,8.0,32.0,30.0
systematic,0.95,50,0.98,8.0,10.0,36.0,38.0
systematic,0.95,50,0.98,4.0,4.0,36.0,32.0
systematic,0.95,50,0.98,6.0,8.0,22.0,32.0
systematic,0.95,50,0.98,6.0,8.0,30.0,31.0
systematic,0.95,50,0.98,8.0,10.0,34.0,30.0
systematic,0.95,50,0.98,12.0,16.0,36.0,40.0
systematic,0.95,50,0.98,8.0,10.0,36.0,36.0
systematic,0.95,50,0.98,16.0,16.0,34.0,40.0
systematic,0.95,50,0.98,22.0,28.0,24.0,28.0
systematic,0.95,50,0.98,10.0,12.0,28.0,34.0
systematic,0.95,50,0.98,8.0,10.0,38.0,33.0
systematic,0.95,50,0.98,20.0,20.0,34.0,34.0
systematic,0.95,50,0.98,6.0,8.0,28.0,28.0
systematic,0.95,50,0.98,12.0,16.0,36.0,28.0
systematic,0.95,50,0.98,8.0,10.0,34.0,34.0
systematic,0.95,50,0.98,12.0,12.0,46.0,38.0
systematic,0.95,50,0.98,10.0,12.0,38.0,32.0
systematic,0.95,50,0.98,4.0,6.0,36.0,30.0
systematic,0.95,50,0.98,10.0,10.0,33.0,30.0
systematic,0.95,50,0.98,8.0,18.0,30.0,36.0
systematic,0.95,50,0.98,10.0,12.0,40.0,34.0
systematic,0.95,50,0.98,4.0,6.0,24.0,20.0
systematic,0.95,50,0.98,8.0,10.0,24.0,28.0
systematic,0.95,50,0.98,6.0,14.0,26.0,34.0
systematic,0.95,50,0.98,16.0,16.0,32.0,31.0
systematic,0.95,50,0.98,8.0,16.0,20.0,28.0
systematic,0.95,50,0.98,14.0,14.0,46.0,48.0
systematic,0.95,50,0.98,18.0,16.0,36.0,36.0
systematic,0.95,50,0.98,8.0,10.0,38.0,36.0
systematic,0.95,50,0.98,16.0,16.0,36.0,38.0
systematic,0.95,50,0.98,4.0,4.0,29.0,34.0
systematic,0.95,50,0.98,6.0,12.0,30.0,34.0
systematic,0.95,50,0.98,12.0,14.0,25.0,20.0
systematic,0.95,50,0.98,6.0,8.0,36.0,36.0
systematic,0.95,50,0.98,6.0,20.0,30.0,38.0
systematic,0.95,50,0.98,12.0,12.0,30.0,30.0
systematic,0.95,50,0.98,12.0,12.0,32.0,36.0
systematic,0.95,50,0.98,6.0,6.0,36.0,20.0
systematic,0.95,50,0.98,4.0,8.0,28.0,26.0
systematic,0.95,50,0.98,8.0,10.0,30.0,32.0
systematic,0.95,50,0.98,6.0,8.0,26.0,24.0
systematic,0.95,50,0.98,10.0,12.0,28.0,28.0
systematic,0.95,50,0.98,6.0,10.0,31.0,42.0
systematic,0.95,50,0.98,6.0,10.0,16.0,20.0
systematic,0.95,50,0.98,8.0,8.0,32.0,36.0
systematic,0.95,50,0.98,8.0,10.0,32.0,26.0
systematic,0.95,50,0.98,2.0,2.0,10.0,14.0
systematic,0.95,50,0.98,2.0,14.0,30.0,22.0
systematic,0.95,50,0.98,4.0,8.0,22.0,24.0
systematic,0.95,50,0.98,10.0,14.0,24.0,30.0
systematic,0.95,50,0.98,6.0,14.0,38.0,40.0
systematic,0.95,50,0.98,12.0,30.0,40.0,36.0
systematic,0.95,50,0.98,10.0,10.0,37.0,24.0
systematic,0.95,50,0.98,2.0,4.0,36.0,28.0
systematic,0.95,50,0.98,4.0,12.0,38.0,32.0
systematic,0.95,50,0.98,6.0,8.0,26.0,26.0
systematic,0.95,50,0.98,4.0,6.0,36.0,34.0
systematic,0.95,50,0.98,6.0,8.0,38.0,16.0
systematic,0.95,50,0.98,6.0,8.0,30.0,30.0
systematic,0.95,50,0.98,12.0,16.0,37.0,30.0
systematic,0.95,50,0.98,6.0,6.0,30.0,30.0
systematic,0.95,50,0.98,24.0,24.0,20.0,24.0
systematic,0.95,50,0.98,6.0,6.0,34.0,34.0
systematic,0.95,50,0.98,22.0,22.0,42.0,34.0
systematic,0.95,50,0.98,12.0,14.0,36.0,36.0
systematic,0.95,50,0.98,6.0,8.0,30.0,32.0
systematic,0.95,50,0.98,6.0,8.0,28.0,28.0
systematic,0.95,50,0.98,2.0,4.0,21.0,25.0
systematic,0.95,50,0.98,4.0,10.0,38.0,30.0
systematic,0.95,50,0.98,10.0,14.0,36.0,38.0
systematic,0.95,50,0.98,4.0,6.0,31.0,20.0
systematic,0.95,50,0.98,6.0,12.0,23.0,30.0
systematic,0.95,50,0.98,4.0,4.0,24.0,24.0
systematic,0.95,50,0.98,4.0,4.0,36.0,30.0
systematic,0.95,50,0.98,8.0,8.0,34.0,34.0
systematic,0.95,50,0.98,10.0,10.0,36.0,36.0
systematic,0.95,50,0.98,6.0,6.0,28.0,30.0
systematic,0.95,50,0.98,8.0,16.0,30.0,30.0
systematic,0.95,50,0.98,4.0,10.0,20.0,24.0
systematic,0.95,50,0.98,6.0,6.0,38.0,28.0
systematic,0.95,50,0.98,8.0,8.0,28.0,28.0
systematic,0.95,50,0.98,8.0,8.0,32.0,32.0
systematic,0.95,50,0.98,4.0,4.0,32.0,32.0
systematic,0.95,50,0.98,16.0,16.0,38.0,36.0
systematic,0.95,50,0.98,10.0,14.0,34.0,26.0
systematic,0.95,50,0.98,4.0,10.0,32.0,36.0
systematic,0.95,50,0.98,14.0,24.0,43.0,40.0
systematic,0.95,50,0.98,6.0,10.0,34.0,36.0
systematic,0.95,50,0.98,8.0,10.0,32.0,30.0
systematic,0.95,50,0.98,8.0,10.0,30.0,22.0
systematic,0.95,50,0.98,12.0,16.0,34.0,26.0
systematic,0.95,50,0.98,6.0,10.0,32.0,32.0
systematic,0.95,50,0.98,6.0,10.0,36.0,35.0
systematic,0.95,50,0.98,14.0,16.0,36.0,22.0
