Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F
systematic,0.9,80,1.655,8.0,8.0,30.0,42.0
systematic,0.9,80,1.655,8.0,8.0,26.0,26.0
systematic,0.9,80,1.655,12.0,12.0,30.0,48.0
systematic,0.9,80,1.655,12.0,12.0,32.0,50.0
systematic,0.9,80,1.655,8.0,10.0,28.0,26.0
systematic,0.9,80,1.655,8.0,10.0,34.0,24.0
systematic,0.9,80,1.655,8.0,8.0,32.0,42.0
systematic,0.9,80,1.655,6.0,6.0,6.0,12.0
systematic,0.9,80,1.655,12.0,10.0,32.0,42.0
systematic,0.9,80,1.655,14.0,14.0,36.0,38.0
systematic,0.9,80,1.655,8.0,8.0,22.0,18.0
systematic,0.9,80,1.655,6.0,6.0,28.0,30.0
systematic,0.9,80,1.655,6.0,6.0,22.0,42.0
systematic,0.9,80,1.655,10.0,10.0,34.0,56.0
systematic,0.9,80,1.655,12.0,14.0,38.0,60.0
systematic,0.9,80,1.655,12.0,14.0,34.0,50.0
systematic,0.9,80,1.655,8.0,8.0,26.0,20.0
systematic,0.9,80,1.655,8.0,6.0,24.0,24.0
systematic,0.9,80,1.655,10.0,10.0,30.0,33.0
systematic,0.9,80,1.655,12.0,12.0,46.0,60.0
systematic,0.9,80,1.655,10.0,12.0,30.0,42.0
systematic,0.9,80,1.655,10.0,12.0,38.0,42.0
systematic,0.9,80,1.655,8.0,10.0,26.0,40.0
systematic,0.9,80,1.655,8.0,8.0,24.0,28.0
systematic,0.9,80,1.655,6.0,8.0,24.0,30.0
systematic,0.9,80,1.655,10.0,10.0,26.0,28.0
systematic,0.9,80,1.655,14.0,14.0,18.0,26.0
systematic,0.9,80,1.655,10.0,12.0,34.0,32.0
systematic,0.9,80,1.655,12.0,14.0,30.0,34.0
systematic,0.9,80,1.655,10.0,8.0,26.0,34.0
systematic,0.9,80,1.655,10.0,12.0,26.0,26.0
systematic,0.9,80,1.655,10.0,10.0,28.0,44.0
systematic,0.9,80,1.655,10.0,8.0,24.0,42.0
systematic,0.9,80,1.655,8.0,8.0,28.0,28.0
systematic,0.9,80,1.655,8.0,8.0,28.0,46.0
systematic,0.9,80,1.655,12.0,12.0,42.0,32.0
systematic,0.9,80,1.655,8.0,10.0,26.0,26.0
systematic,0.9,80,1.655,6.0,4.0,26.0,36.0
systematic,0.9,80,1.655,12.0,14.0,32.0,44.0
systematic,0.9,80,1.655,10.0,12.0,30.0,44.0
systematic,0.9,80,1.655,6.0,4.0,22.0,28.0
systematic,0.9,80,1.655,10.0,12.0,36.0,54.0
systematic,0.9,80,1.655,10.0,14.0,32.0,32.0
systematic,0.9,80,1.655,8.0,8.0,24.0,26.0
systematic,0.9,80,1.655,6.0,6.0,22.0,22.0
systematic,0.9,80,1.655,10.0,12.0,34.0,38.0
systematic,0.9,80,1.655,12.0,16.0,32.0,38.0
systematic,0.9,80,1.655,6.0,6.0,22.0,50.0
systematic,0.9,80,1.655,10.0,10.0,24.0,24.0
systematic,0.9,80,1.655,10.0,10.0,22.0,34.0
systematic,0.9,80,1.655,10.0,10.0,28.0,48.0
systematic,0.9,80,1.655,10.0,14.0,30.0,32.0
systematic,0.9,80,1.655,8.0,6.0,30.0,24.0
systematic,0.9,80,1.655,8.0,6.0,22.0,24.0
systematic,0.9,80,1.655,10.0,10.0,26.0,28.0
systematic,0.9,80,1.655,6.0,6.0,34.0,32.0
systematic,0.9,80,1.655,8.0,8.0,22.0,22.0
systematic,0.9,80,1.655,6.0,6.0,26.0,40.0
systematic,0.9,80,1.655,8.0,8.0,28.0,42.0
systematic,0.9,80,1.655,8.0,6.0,24.0,16.0
systematic,0.9,80,1.655,8.0,4.0,26.0,30.0
systematic,0.9,80,1.655,4.0,4.0,20.0,28.0
systematic,0.9,80,1.655,6.0,8.0,20.0,24.0
systematic,0.9,80,1.655,10.0,10.0,34.0,28.0
systematic,0.9,80,1.655,8.0,8.0,24.0,28.0
systematic,0.9,80,1.655,8.0,8.0,30.0,40.0
systematic,0.9,80,1.655,8.0,6.0,22.0,24.0
systematic,0.9,80,1.655,12.0,14.0,32.0,24.0
systematic,0.9,80,1.655,10.0,10.0,38.0,30.0
systematic,0.9,80,1.655,12.0,12.0,22.0,50.0
systematic,0.9,80,1.655,10.0,14.0,28.0,22.0
systematic,0.9,80,1.655,10.0,10.0,32.0,38.0
systematic,0.9,80,1.655,10.0,10.0,38.0,42.0
systematic,0.9,80,1.655,10.0,12.0,34.0,44.0
systematic,0.9,80,1.655,6.0,6.0,22.0,22.0
systematic,0.9,80,1.655,14.0,14.0,42.0,48.0
systematic,0.9,80,1.655,10.0,12.0,30.0,60.0
systematic,0.9,80,1.655,8.0,10.0,22.0,36.0
systematic,0.9,80,1.655,8.0,8.0,30.0,30.0
systematic,0.9,80,1.655,6.0,6.0,18.0,22.0
systematic,0.9,80,1.655,10.0,8.0,26.0,18.0
systematic,0.9,80,1.655,8.0,8.0,14.0,38.0
systematic,0.9,80,1.655,8.0,8.0,18.0,22.0
systematic,0.9,80,1.655,8.0,4.0,26.0,46.0
systematic,0.9,80,1.655,8.0,8.0,24.0,30.0
systematic,0.9,80,1.655,14.0,18.0,42.0,54.0
systematic,0.9,80,1.655,6.0,6.0,20.0,26.0
systematic,0.9,80,1.655,12.0,12.0,18.0,32.0
systematic,0.9,80,1.655,10.0,10.0,28.0,28.0
systematic,0.9,80,1.655,8.0,8.0,26.0,20.0
systematic,0.9,80,1.655,10.0,10.0,26.0,30.0
systematic,0.9,80,1.655,8.0,12.0,18.0,26.0
systematic,0.9,80,1.655,8.0,8.0,14.0,18.0
systematic,0.9,80,1.655,12.0,12.0,20.0,18.0
systematic,0.9,80,1.655,6.0,8.0,30.0,48.0
systematic,0.9,80,1.655,8.0,6.0,22.0,24.0
systematic,0.9,80,1.655,12.0,14.0,34.0,40.0
systematic,0.9,80,1.655,8.0,8.0,20.0,26.0
systematic,0.9,80,1.655,10.0,10.0,30.0,34.0
systematic,0.9,80,1.655,8.0,10.0,28.0,28.0
systematic,0.9,80,1.655,10.0,10.0,30.0,36.0
systematic,0.9,80,1.655,8.0,8.0,38.0,46.0
systematic,0.9,80,1.655,10.0,10.0,32.0,38.0
systematic,0.9,80,1.655,6.0,6.0,32.0,20.0
systematic,0.9,80,1.655,8.0,10.0,28.0,36.0
systematic,0.9,80,1.655,8.0,8.0,28.0,44.0
systematic,0.9,80,1.655,10.0,10.0,24.0,18.0
systematic,0.9,80,1.655,6.0,8.0,26.0,26.0
systematic,0.9,80,1.655,8.0,8.0,26.0,28.0
systematic,0.9,80,1.655,6.0,4.0,22.0,36.0
systematic,0.9,80,1.655,12.0,14.0,20.0,28.0
systematic,0.9,80,1.655,8.0,10.0,26.0,56.0
systematic,0.9,80,1.655,8.0,8.0,28.0,28.0
systematic,0.9,80,1.655,10.0,12.0,40.0,56.0
systematic,0.9,80,1.655,16.0,16.0,38.0,40.0
systematic,0.9,80,1.655,10.0,6.0,24.0,20.0
systematic,0.9,80,1.655,8.0,8.0,26.0,26.0
systematic,0.9,80,1.655,8.0,14.0,30.0,32.0
systematic,0.9,80,1.655,10.0,10.0,28.0,30.0
systematic,0.9,80,1.655,8.0,12.0,30.0,34.0
systematic,0.9,80,1.655,6.0,4.0,16.0,20.0
systematic,0.9,80,1.655,8.0,10.0,22.0,30.0
systematic,0.9,80,1.655,10.0,12.0,28.0,22.0
systematic,0.9,80,1.655,10.0,8.0,26.0,28.0
systematic,0.9,80,1.655,10.0,12.0,28.0,26.0
systematic,0.9,80,1.655,6.0,8.0,20.0,18.0
systematic,0.9,80,1.655,12.0,14.0,36.0,54.0
systematic,0.9,80,1.655,8.0,10.0,32.0,52.0
systematic,0.9,80,1.655,8.0,8.0,30.0,28.0
systematic,0.9,80,1.655,10.0,10.0,20.0,38.0
systematic,0.9,80,1.655,8.0,8.0,32.0,46.0
systematic,0.9,80,1.655,8.0,8.0,28.0,28.0
systematic,0.9,80,1.655,8.0,10.0,28.0,36.0
