Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F
upshift,0.95,50,1.655,7.0,8.0,29.0,24.0
upshift,0.95,50,1.655,2.0,4.0,23.0,33.0
upshift,0.95,50,1.655,6.0,7.0,29.0,24.0
upshift,0.95,50,1.655,7.0,7.0,32.0,27.0
upshift,0.95,50,1.655,7.0,7.0,29.0,27.0
upshift,0.95,50,1.655,9.0,12.0,36.0,45.0
upshift,0.95,50,1.655,5.0,6.0,24.0,36.0
upshift,0.95,50,1.655,6.0,6.0,23.0,35.0
upshift,0.95,50,1.655,6.0,6.0,29.0,35.0
upshift,0.95,50,1.655,2.0,4.0,24.0,27.0
upshift,0.95,50,1.655,5.0,6.0,30.0,36.0
upshift,0.95,50,1.655,3.0,4.0,23.0,20.0
upshift,0.95,50,1.655,7.0,8.0,31.0,36.0
upshift,0.95,50,1.655,4.0,5.0,24.0,33.0
upshift,0.95,50,1.655,6.0,7.0,33.0,30.0
upshift,0.95,50,1.655,7.0,8.0,34.0,40.0
upshift,0.95,50,1.655,6.0,8.0,28.0,32.0
upshift,0.95,50,1.655,3.0,4.0,18.0,32.0
upshift,0.95,50,1.655,3.0,4.0,29.0,27.0
upshift,0.95,50,1.655,7.0,7.0,33.0,40.0
upshift,0.95,50,1.655,3.0,4.0,26.0,34.0
upshift,0.95,50,1.655,7.0,9.0,27.0,38.0
upshift,0.95,50,1.655,5.0,5.0,18.0,29.0
upshift,0.95,50,1.655,6.0,6.0,33.0,31.0
upshift,0.95,50,1.655,5.0,6.0,30.0,38.0
upshift,0.95,50,1.655,6.0,8.0,29.0,39.0
upshift,0.95,50,1.655,6.0,7.0,22.0,36.0
upshift,0.95,50,1.655,7.0,10.0,32.0,31.0
upshift,0.95,50,1.655,7.0,13.0,27.0,34.0
upshift,0.95,50,1.655,6.0,7.0,22.0,35.0
upshift,0.95,50,1.655,7.0,9.0,26.0,36.0
upshift,0.95,50,1.655,10.0,11.0,34.0,42.0
upshift,0.95,50,1.655,4.0,4.0,27.0,30.0
upshift,0.95,50,1.655,5.0,6.0,26.0,36.0
upshift,0.95,50,1.655,4.0,5.0,21.0,33.0
upshift,0.95,50,1.655,7.0,8.0,26.0,35.0
upshift,0.95,50,1.655,7.0,8.0,29.0,38.0
upshift,0.95,50,1.655,7.0,9.0,30.0,38.0
upshift,0.95,50,1.655,5.0,6.0,26.0,32.0
upshift,0.95,50,1.655,5.0,5.0,24.0,28.0
upshift,0.95,50,1.655,6.0,7.0,35.0,39.0
upshift,0.95,50,1.655,5.0,6.0,33.0,37.0
upshift,0.95,50,1.655,5.0,5.0,27.0,35.0
upshift,0.95,50,1.655,8.0,11.0,27.0,38.0
upshift,0.95,50,1.655,3.0,13.0,28.0,36.0
upshift,0.95,50,1.655,4.0,5.0,30.0,33.0
upshift,0.95,50,1.655,5.0,7.0,28.0,40.0
upshift,0.95,50,1.655,5.0,5.0,29.0,31.0
upshift,0.95,50,1.655,6.0,7.0,38.0,38.0
upshift,0.95,50,1.655,4.0,5.0,25.0,38.0
upshift,0.95,50,1.655,5.0,8.0,35.0,33.0
upshift,0.95,50,1.655,3.0,4.0,27.0,25.0
upshift,0.95,50,1.655,6.0,6.0,33.0,30.0
upshift,0.95,50,1.655,6.0,6.0,33.0,32.0
upshift,0.95,50,1.655,6.0,6.0,23.0,32.0
upshift,0.95,50,1.655,7.0,7.0,26.0,26.0
upshift,0.95,50,1.655,5.0,5.0,22.0,35.0
upshift,0.95,50,1.655,6.0,7.0,29.0,37.0
upshift,0.95,50,1.655,6.0,7.0,25.0,38.0
upshift,0.95,50,1.655,5.0,6.0,20.0,35.0
upshift,0.95,50,1.655,5.0,5.0,21.0,26.0
upshift,0.95,50,1.655,7.0,8.0,25.0,36.0
upshift,0.95,50,1.655,9.0,11.0,30.0,34.0
upshift,0.95,50,1.655,4.0,4.0,21.0,27.0
upshift,0.95,50,1.655,4.0,5.0,31.0,31.0
upshift,0.95,50,1.655,6.0,6.0,26.0,39.0
upshift,0.95,50,1.655,8.0,9.0,26.0,34.0
upshift,0.95,50,1.655,5.0,8.0,32.0,37.0
upshift,0.95,50,1.655,7.0,8.0,25.0,31.0
upshift,0.95,50,1.655,6.0,6.0,29.0,26.0
upshift,0.95,50,1.655,4.0,7.0,26.0,37.0
upshift,0.95,50,1.655,5.0,5.0,24.0,30.0
upshift,0.95,50,1.655,6.0,6.0,25.0,27.0
upshift,0.95,50,1.655,6.0,6.0,29.0,39.0
upshift,0.95,50,1.655,7.0,9.0,27.0,26.0
upshift,0.95,50,1.655,10.0,12.0,27.0,41.0
upshift,0.95,50,1.655,6.0,6.0,19.0,26.0
upshift,0.95,50,1.655,5.0,7.0,26.0,29.0
upshift,0.95,50,1.655,7.0,7.0,33.0,36.0
upshift,0.95,50,1.655,8.0,9.0,31.0,36.0
upshift,0.95,50,1.655,6.0,9.0,23.0,41.0
upshift,0.95,50,1.655,6.0,6.0,26.0,12.0
upshift,0.95,50,1.655,6.0,7.0,31.0,31.0
upshift,0.95,50,1.655,9.0,10.0,45.0,35.0
upshift,0.95,50,1.655,6.0,8.0,26.0,33.0
upshift,0.95,50,1.655,8.0,9.0,36.0,36.0
upshift,0.95,50,1.655,3.0,4.0,23.0,35.0
upshift,0.95,50,1.655,5.0,6.0,25.0,30.0
upshift,0.95,50,1.655,6.0,8.0,30.0,33.0
upshift,0.95,50,1.655,6.0,7.0,29.0,33.0
upshift,0.95,50,1.655,1.0,2.0,20.0,34.0
upshift,0.95,50,1.655,3.0,5.0,19.0,37.0
upshift,0.95,50,1.655,5.0,6.0,27.0,35.0
upshift,0.95,50,1.655,6.0,7.0,32.0,38.0
upshift,0.95,50,1.655,5.0,5.0,28.0,38.0
upshift,0.95,50,1.655,7.0,8.0,27.0,24.0
upshift,0.95,50,1.655,6.0,6.0,26.0,36.0
upshift,0.95,50,1.655,9.0,10.0,29.0,39.0
upshift,0.95,50,1.655,9.0,10.0,24.0,40.0
upshift,0.95,50,1.655,2.0,4.0,27.0,35.0
upshift,0.95,50,1.655,4.0,5.0,36.0,35.0
upshift,0.95,50,1.655,4.0,7.0,31.0,36.0
upshift,0.95,50,1.655,5.0,5.0,26.0,31.0
upshift,0.95,50,1.655,5.0,6.0,29.0,35.0
upshift,0.95,50,1.655,5.0,6.0,29.0,36.0
upshift,0.95,50,1.655,4.0,5.0,20.0,24.0
upshift,0.95,50,1.655,5.0,6.0,26.0,31.0
upshift,0.95,50,1.655,7.0,8.0,23.0,23.0
upshift,0.95,50,1.655,4.0,7.0,19.0,35.0
upshift,0.95,50,1.655,6.0,7.0,26.0,36.0
upshift,0.95,50,1.655,8.0,8.0,26.0,39.0
upshift,0.95,50,1.655,9.0,9.0,25.0,23.0
upshift,0.95,50,1.655,4.0,5.0,25.0,29.0
upshift,0.95,50,1.655,8.0,9.0,28.0,27.0
upshift,0.95,50,1.655,4.0,5.0,28.0,29.0
upshift,0.95,50,1.655,5.0,11.0,22.0,38.0
upshift,0.95,50,1.655,6.0,6.0,20.0,20.0
upshift,0.95,50,1.655,7.0,8.0,28.0,38.0
upshift,0.95,50,1.655,5.0,5.0,15.0,31.0
upshift,0.95,50,1.655,6.0,7.0,28.0,40.0
upshift,0.95,50,1.655,7.0,9.0,26.0,34.0
upshift,0.95,50,1.655,6.0,6.0,24.0,23.0
upshift,0.95,50,1.655,8.0,10.0,26.0,41.0
upshift,0.95,50,1.655,4.0,5.0,23.0,21.0
upshift,0.95,50,1.655,5.0,6.0,26.0,26.0
upshift,0.95,50,1.655,4.0,5.0,22.0,26.0
upshift,0.95,50,1.655,6.0,6.0,26.0,24.0
upshift,0.95,50,1.655,6.0,10.0,36.0,34.0
upshift,0.95,50,1.655,7.0,7.0,33.0,35.0
upshift,0.95,50,1.655,5.0,5.0,28.0,33.0
upshift,0.95,50,1.655,5.0,5.0,21.0,18.0
upshift,0.95,50,1.655,6.0,8.0,23.0,28.0
upshift,0.95,50,1.655,7.0,13.0,30.0,41.0
upshift,0.95,50,1.655,6.0,9.0,27.0,34.0
upshift,0.95,50,1.655,3.0,3.0,20.0,26.0
upshift,0.95,50,1.655,6.0,7.0,30.0,37.0
upshift,0.95,50,1.655,8.0,9.0,31.0,40.0
upshift,0.95,50,1.655,6.0,8.0,24.0,35.0
upshift,0.95,50,1.655,5.0,6.0,20.0,31.0
upshift,0.95,50,1.655,7.0,8.0,27.0,34.0
upshift,0.95,50,1.655,6.0,6.0,36.0,35.0
upshift,0.95,50,1.655,5.0,6.0,28.0,38.0
upshift,0.95,50,1.655,6.0,8.0,27.0,25.0
upshift,0.95,50,1.655,5.0,10.0,29.0,39.0
upshift,0.95,50,1.655,4.0,5.0,25.0,31.0
upshift,0.95,50,1.655,8.0,9.0,32.0,36.0
upshift,0.95,50,1.655,6.0,8.0,31.0,38.0
upshift,0.95,50,1.655,6.0,6.0,29.0,23.0
upshift,0.95,50,1.655,4.0,5.0,22.0,18.0
upshift,0.95,50,1.655,3.0,6.0,29.0,28.0
upshift,0.95,50,1.655,7.0,8.0,31.0,33.0
upshift,0.95,50,1.655,6.0,11.0,31.0,35.0
upshift,0.95,50,1.655,6.0,6.0,23.0,27.0
