Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F
upshift,0.9,50,1.28,6.0,6.0,34.0,33.0
upshift,0.9,50,1.28,4.0,5.0,22.0,21.0
upshift,0.9,50,1.28,4.0,5.0,22.0,18.0
upshift,0.9,50,1.28,6.0,7.0,33.0,31.0
upshift,0.9,50,1.28,2.0,3.0,23.0,17.0
upshift,0.9,50,1.28,11.0,12.0,32.0,28.0
upshift,0.9,50,1.28,3.0,4.0,30.0,29.0
upshift,0.9,50,1.28,5.0,6.0,31.0,30.0
upshift,0.9,50,1.28,5.0,6.0,22.0,21.0
upshift,0.9,50,1.28,7.0,9.0,31.0,31.0
upshift,0.9,50,1.28,6.0,7.0,25.0,22.0
upshift,0.9,50,1.28,4.0,5.0,27.0,23.0
upshift,0.9,50,1.28,4.0,5.0,28.0,21.0
upshift,0.9,50,1.28,5.0,6.0,32.0,30.0
upshift,0.9,50,1.28,8.0,13.0,31.0,28.0
upshift,0.9,50,1.28,2.0,3.0,30.0,31.0
upshift,0.9,50,1.28,5.0,6.0,28.0,28.0
upshift,0.9,50,1.28,5.0,6.0,24.0,24.0
upshift,0.9,50,1.28,6.0,6.0,29.0,25.0
upshift,0.9,50,1.28,4.0,5.0,27.0,21.0
upshift,0.9,50,1.28,4.0,4.0,27.0,30.0
upshift,0.9,50,1.28,3.0,4.0,28.0,25.0
upshift,0.9,50,1.28,4.0,4.0,26.0,20.0
upshift,0.9,50,1.28,3.0,5.0,23.0,22.0
upshift,0.9,50,1.28,3.0,5.0,24.0,25.0
upshift,0.9,50,1.28,5.0,5.0,29.0,25.0
upshift,0.9,50,1.28,9.0,11.0,33.0,32.0
upshift,0.9,50,1.28,7.0,8.0,26.0,26.0
upshift,0.9,50,1.28,6.0,8.0,27.0,24.0
upshift,0.9,50,1.28,6.0,7.0,26.0,24.0
upshift,0.9,50,1.28,5.0,5.0,23.0,22.0
upshift,0.9,50,1.28,8.0,8.0,26.0,22.0
upshift,0.9,50,1.28,6.0,8.0,31.0,30.0
upshift,0.9,50,1.28,6.0,6.0,25.0,28.0
upshift,0.9,50,1.28,7.0,8.0,31.0,24.0
upshift,0.9,50,1.28,4.0,6.0,25.0,22.0
upshift,0.9,50,1.28,7.0,7.0,31.0,25.0
upshift,0.9,50,1.28,5.0,6.0,30.0,26.0
upshift,0.9,50,1.28,6.0,8.0,25.0,21.0
upshift,0.9,50,1.28,3.0,5.0,25.0,18.0
upshift,0.9,50,1.28,2.0,3.0,21.0,20.0
upshift,0.9,50,1.28,12.0,21.0,36.0,36.0
upshift,0.9,50,1.28,2.0,22.0,27.0,31.0
upshift,0.9,50,1.28,8.0,9.0,46.0,44.0
upshift,0.9,50,1.28,6.0,9.0,23.0,21.0
upshift,0.9,50,1.28,10.0,11.0,32.0,27.0
upshift,0.9,50,1.28,3.0,7.0,31.0,27.0
upshift,0.9,50,1.28,6.0,9.0,19.0,18.0
upshift,0.9,50,1.28,8.0,10.0,30.0,24.0
upshift,0.9,50,1.28,6.0,7.0,29.0,30.0
upshift,0.9,50,1.28,5.0,7.0,31.0,31.0
upshift,0.9,50,1.28,3.0,5.0,16.0,15.0
upshift,0.9,50,1.28,10.0,11.0,37.0,27.0
upshift,0.9,50,1.28,7.0,8.0,29.0,29.0
upshift,0.9,50,1.28,6.0,7.0,29.0,26.0
upshift,0.9,50,1.28,4.0,5.0,26.0,25.0
upshift,0.9,50,1.28,5.0,6.0,25.0,25.0
upshift,0.9,50,1.28,6.0,11.0,30.0,29.0
upshift,0.9,50,1.28,7.0,11.0,33.0,25.0
upshift,0.9,50,1.28,6.0,7.0,29.0,35.0
upshift,0.9,50,1.28,6.0,7.0,29.0,28.0
upshift,0.9,50,1.28,5.0,6.0,31.0,31.0
upshift,0.9,50,1.28,6.0,7.0,24.0,17.0
upshift,0.9,50,1.28,11.0,13.0,32.0,32.0
upshift,0.9,50,1.28,1.0,2.0,17.0,14.0
upshift,0.9,50,1.28,3.0,4.0,26.0,25.0
upshift,0.9,50,1.28,3.0,4.0,15.0,10.0
upshift,0.9,50,1.28,5.0,5.0,27.0,26.0
upshift,0.9,50,1.28,7.0,9.0,26.0,35.0
upshift,0.9,50,1.28,3.0,20.0,31.0,30.0
upshift,0.9,50,1.28,6.0,7.0,28.0,28.0
upshift,0.9,50,1.28,5.0,5.0,31.0,26.0
upshift,0.9,50,1.28,5.0,6.0,27.0,25.0
upshift,0.9,50,1.28,7.0,8.0,30.0,26.0
upshift,0.9,50,1.28,9.0,11.0,33.0,30.0
upshift,0.9,50,1.28,10.0,12.0,36.0,36.0
upshift,0.9,50,1.28,7.0,8.0,21.0,21.0
upshift,0.9,50,1.28,2.0,3.0,9.0,13.0
upshift,0.9,50,1.28,2.0,5.0,19.0,19.0
upshift,0.9,50,1.28,6.0,8.0,33.0,29.0
upshift,0.9,50,1.28,6.0,6.0,21.0,21.0
upshift,0.9,50,1.28,5.0,7.0,29.0,28.0
upshift,0.9,50,1.28,7.0,8.0,32.0,33.0
upshift,0.9,50,1.28,8.0,8.0,32.0,20.0
upshift,0.9,50,1.28,4.0,5.0,23.0,23.0
upshift,0.9,50,1.28,2.0,3.0,21.0,18.0
upshift,0.9,50,1.28,6.0,6.0,23.0,18.0
upshift,0.9,50,1.28,6.0,8.0,21.0,20.0
upshift,0.9,50,1.28,6.0,7.0,23.0,19.0
upshift,0.9,50,1.28,2.0,3.0,12.0,12.0
upshift,0.9,50,1.28,7.0,8.0,29.0,31.0
upshift,0.9,50,1.28,6.0,8.0,18.0,15.0
upshift,0.9,50,1.28,8.0,9.0,27.0,27.0
upshift,0.9,50,1.28,4.0,6.0,26.0,24.0
upshift,0.9,50,1.28,2.0,4.0,25.0,24.0
upshift,0.9,50,1.28,4.0,5.0,25.0,18.0
upshift,0.9,50,1.28,7.0,17.0,25.0,25.0
upshift,0.9,50,1.28,6.0,7.0,28.0,28.0
upshift,0.9,50,1.28,4.0,5.0,19.0,17.0
upshift,0.9,50,1.28,10.0,11.0,24.0,22.0
upshift,0.9,50,1.28,10.0,11.0,30.0,25.0
upshift,0.9,50,1.28,5.0,6.0,26.0,25.0
upshift,0.9,50,1.28,5.0,5.0,26.0,23.0
upshift,0.9,50,1.28,5.0,5.0,24.0,24.0
upshift,0.9,50,1.28,6.0,6.0,30.0,28.0
upshift,0.9,50,1.28,5.0,7.0,35.0,31.0
upshift,0.9,50,1.28,6.0,6.0,26.0,25.0
upshift,0.9,50,1.28,3.0,4.0,19.0,17.0
upshift,0.9,50,1.28,5.0,6.0,25.0,24.0
upshift,0.9,50,1.28,5.0,6.0,28.0,27.0
upshift,0.9,50,1.28,5.0,5.0,32.0,34.0
upshift,0.9,50,1.28,6.0,11.0,21.0,21.0
upshift,0.9,50,1.28,5.0,5.0,29.0,27.0
upshift,0.9,50,1.28,11.0,12.0,31.0,27.0
upshift,0.9,50,1.28,6.0,7.0,23.0,22.0
upshift,0.9,50,1.28,6.0,9.0,32.0,24.0
upshift,0.9,50,1.28,5.0,6.0,25.0,18.0
upshift,0.9,50,1.28,4.0,5.0,23.0,23.0
upshift,0.9,50,1.28,7.0,8.0,25.0,25.0
upshift,0.9,50,1.28,6.0,6.0,31.0,31.0
upshift,0.9,50,1.28,2.0,6.0,24.0,19.0
upshift,0.9,50,1.28,9.0,9.0,28.0,27.0
upshift,0.9,50,1.28,9.0,9.0,31.0,29.0
upshift,0.9,50,1.28,4.0,6.0,24.0,26.0
upshift,0.9,50,1.28,5.0,6.0,18.0,16.0
upshift,0.9,50,1.28,7.0,8.0,30.0,30.0
upshift,0.9,50,1.28,10.0,11.0,33.0,33.0
upshift,0.9,50,1.28,6.0,18.0,38.0,36.0
upshift,0.9,50,1.28,6.0,16.0,34.0,34.0
upshift,0.9,50,1.28,6.0,7.0,21.0,20.0
upshift,0.9,50,1.28,8.0,11.0,37.0,36.0
upshift,0.9,50,1.28,4.0,5.0,27.0,26.0
upshift,0.9,50,1.28,3.0,5.0,30.0,27.0
upshift,0.9,50,1.28,8.0,9.0,27.0,24.0
upshift,0.9,50,1.28,5.0,5.0,29.0,30.0
upshift,0.9,50,1.28,2.0,4.0,31.0,32.0
upshift,0.9,50,1.28,6.0,6.0,26.0,20.0
upshift,0.9,50,1.28,3.0,6.0,25.0,22.0
upshift,0.9,50,1.28,7.0,9.0,33.0,33.0
upshift,0.9,50,1.28,6.0,9.0,30.0,29.0
upshift,0.9,50,1.28,4.0,5.0,30.0,18.0
upshift,0.9,50,1.28,5.0,6.0,28.0,21.0
upshift,0.9,50,1.28,1.0,8.0,25.0,22.0
upshift,0.9,50,1.28,5.0,5.0,29.0,29.0
upshift,0.9,50,1.28,10.0,13.0,36.0,34.0
upshift,0.9,50,1.28,3.0,6.0,26.0,27.0
upshift,0.9,50,1.28,2.0,3.0,16.0,14.0
upshift,0.9,50,1.28,7.0,8.0,31.0,37.0
upshift,0.9,50,1.28,10.0,13.0,34.0,35.0
upshift,0.9,50,1.28,8.0,10.0,21.0,19.0
upshift,0.9,50,1.28,6.0,9.0,26.0,25.0
upshift,0.9,50,1.28,4.0,4.0,28.0,29.0
upshift,0.9,50,1.28,4.0,4.0,23.0,18.0
upshift,0.9,50,1.28,7.0,8.0,32.0,32.0
upshift,0.9,50,1.28,5.0,9.0,32.0,26.0
upshift,0.9,50,1.28,4.0,4.0,31.0,29.0
upshift,0.9,50,1.28,8.0,8.0,31.0,31.0
upshift,0.9,50,1.28,5.0,7.0,34.0,32.0
upshift,0.9,50,1.28,2.0,4.0,18.0,12.0
upshift,0.9,50,1.28,8.0,9.0,27.0,28.0
upshift,0.9,50,1.28,5.0,6.0,29.0,25.0
upshift,0.9,50,1.28,6.0,6.0,30.0,30.0
upshift,0.9,50,1.28,4.0,5.0,27.0,23.0
upshift,0.9,50,1.28,2.0,3.0,16.0,16.0
upshift,0.9,50,1.28,5.0,7.0,24.0,26.0
upshift,0.9,50,1.28,6.0,7.0,34.0,29.0
upshift,0.9,50,1.28,2.0,4.0,25.0,20.0
upshift,0.9,50,1.28,4.0,5.0,32.0,29.0
upshift,0.9,50,1.28,7.0,7.0,27.0,29.0
upshift,0.9,50,1.28,6.0,9.0,29.0,27.0
upshift,0.9,50,1.28,3.0,4.0,22.0,20.0
upshift,0.9,50,1.28,8.0,11.0,26.0,27.0
upshift,0.9,50,1.28,12.0,18.0,35.0,32.0
upshift,0.9,50,1.28,10.0,13.0,30.0,30.0
upshift,0.9,50,1.28,3.0,5.0,29.0,24.0
upshift,0.9,50,1.28,2.0,3.0,30.0,26.0
upshift,0.9,50,1.28,7.0,8.0,27.0,27.0
upshift,0.9,50,1.28,6.0,7.0,28.0,21.0
upshift,0.9,50,1.28,9.0,10.0,26.0,28.0
upshift,0.9,50,1.28,4.0,6.0,29.0,31.0
upshift,0.9,50,1.28,4.0,6.0,20.0,17.0
upshift,0.9,50,1.28,5.0,7.0,26.0,26.0
upshift,0.9,50,1.28,5.0,7.0,27.0,30.0
upshift,0.9,50,1.28,7.0,8.0,32.0,29.0
upshift,0.9,50,1.28,6.0,7.0,34.0,31.0
upshift,0.9,50,1.28,4.0,5.0,31.0,26.0
upshift,0.9,50,1.28,7.0,8.0,22.0,21.0
upshift,0.9,50,1.28,7.0,8.0,32.0,30.0
upshift,0.9,50,1.28,6.0,7.0,27.0,26.0
upshift,0.9,50,1.28,8.0,11.0,23.0,19.0
upshift,0.9,50,1.28,4.0,4.0,28.0,19.0
upshift,0.9,50,1.28,5.0,6.0,24.0,20.0
upshift,0.9,50,1.28,10.0,16.0,39.0,36.0
upshift,0.9,50,1.28,8.0,9.0,33.0,34.0
upshift,0.9,50,1.28,7.0,8.0,33.0,31.0
upshift,0.9,50,1.28,5.0,6.0,33.0,32.0
upshift,0.9,50,1.28,7.0,9.0,26.0,23.0
upshift,0.9,50,1.28,5.0,7.0,32.0,28.0
upshift,0.9,50,1.28,3.0,5.0,26.0,22.0
upshift,0.9,50,1.28,7.0,8.0,32.0,31.0
upshift,0.9,50,1.28,6.0,6.0,30.0,34.0
upshift,0.9,50,1.28,5.0,8.0,26.0,24.0
upshift,0.9,50,1.28,5.0,5.0,15.0,18.0
upshift,0.9,50,1.28,6.0,7.0,34.0,29.0
upshift,0.9,50,1.28,13.0,14.0,35.0,31.0
upshift,0.9,50,1.28,6.0,7.0,25.0,23.0
upshift,0.9,50,1.28,7.0,8.0,33.0,24.0
upshift,0.9,50,1.28,5.0,8.0,23.0,22.0
upshift,0.9,50,1.28,4.0,9.0,30.0,29.0
