Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F
downshift,0.5,30,0.755,14.0,14.0,28.0,28.0
downshift,0.5,30,0.755,3.0,3.0,6.0,6.0
downshift,0.5,30,0.755,4.0,4.0,13.0,13.0
downshift,0.5,30,0.755,3.0,3.0,7.0,7.0
downshift,0.5,30,0.755,4.0,4.0,16.0,12.0
downshift,0.5,30,0.755,3.0,3.0,17.0,15.0
downshift,0.5,30,0.755,5.0,5.0,13.0,12.0
downshift,0.5,30,0.755,5.0,5.0,11.0,10.0
downshift,0.5,30,0.755,3.0,3.0,21.0,22.0
downshift,0.5,30,0.755,16.0,16.0,24.0,24.0
downshift,0.5,30,0.755,4.0,4.0,9.0,8.0
downshift,0.5,30,0.755,2.0,2.0,12.0,12.0
downshift,0.5,30,0.755,2.0,2.0,18.0,18.0
downshift,0.5,30,0.755,3.0,3.0,8.0,8.0
downshift,0.5,30,0.755,4.0,4.0,7.0,7.0
downshift,0.5,30,0.755,4.0,3.0,12.0,12.0
downshift,0.5,30,0.755,3.0,3.0,9.0,9.0
downshift,0.5,30,0.755,1.0,1.0,1.0,1.0
downshift,0.5,30,0.755,3.0,3.0,15.0,15.0
downshift,0.5,30,0.755,4.0,4.0,15.0,15.0
downshift,0.5,30,0.755,5.0,5.0,16.0,16.0
downshift,0.5,30,0.755,6.0,6.0,20.0,20.0
downshift,0.5,30,0.755,4.0,4.0,16.0,16.0
downshift,0.5,30,0.755,6.0,6.0,17.0,17.0
downshift,0.5,30,0.755,2.0,2.0,8.0,8.0
downshift,0.5,30,0.755,3.0,3.0,10.0,10.0
downshift,0.5,30,0.755,3.0,3.0,12.0,12.0
downshift,0.5,30,0.755,6.0,6.0,19.0,19.0
downshift,0.5,30,0.755,1.0,1.0,14.0,15.0
downshift,0.5,30,0.755,6.0,6.0,17.0,17.0
downshift,0.5,30,0.755,10.0,10.0,18.0,17.0
downshift,0.5,30,0.755,1.0,1.0,6.0,6.0
downshift,0.5,30,0.755,2.0,2.0,12.0,12.0
downshift,0.5,30,0.755,7.0,7.0,16.0,15.0
downshift,0.5,30,0.755,5.0,4.0,10.0,10.0
downshift,0.5,30,0.755,4.0,4.0,13.0,12.0
downshift,0.5,30,0.755,5.0,5.0,14.0,14.0
downshift,0.5,30,0.755,15.0,14.0,19.0,19.0
downshift,0.5,30,0.755,2.0,2.0,16.0,16.0
downshift,0.5,30,0.755,9.0,9.0,14.0,13.0
downshift,0.5,30,0.755,2.0,2.0,12.0,12.0
downshift,0.5,30,0.755,2.0,2.0,22.0,22.0
downshift,0.5,30,0.755,1.0,1.0,10.0,10.0
downshift,0.5,30,0.755,4.0,4.0,17.0,17.0
downshift,0.5,30,0.755,4.0,4.0,15.0,15.0
downshift,0.5,30,0.755,8.0,8.0,25.0,26.0
downshift,0.5,30,0.755,1.0,1.0,2.0,2.0
downshift,0.5,30,0.755,3.0,3.0,9.0,8.0
downshift,0.5,30,0.755,4.0,4.0,14.0,13.0
downshift,0.5,30,0.755,7.0,7.0,29.0,29.0
downshift,0.5,30,0.755,2.0,2.0,10.0,10.0
downshift,0.5,30,0.755,2.0,2.0,6.0,5.0
downshift,0.5,30,0.755,13.0,13.0,20.0,20.0
downshift,0.5,30,0.755,8.0,8.0,14.0,13.0
downshift,0.5,30,0.755,5.0,5.0,15.0,15.0
downshift,0.5,30,0.755,7.0,6.0,17.0,17.0
downshift,0.5,30,0.755,4.0,4.0,16.0,14.0
downshift,0.5,30,0.755,4.0,4.0,8.0,6.0
downshift,0.5,30,0.755,4.0,4.0,14.0,12.0
downshift,0.5,30,0.755,10.0,10.0,23.0,24.0
downshift,0.5,30,0.755,5.0,5.0,17.0,17.0
downshift,0.5,30,0.755,3.0,3.0,18.0,18.0
downshift,0.5,30,0.755,3.0,3.0,10.0,10.0
downshift,0.5,30,0.755,2.0,2.0,15.0,15.0
downshift,0.5,30,0.755,1.0,1.0,9.0,13.0
downshift,0.5,30,0.755,10.0,9.0,17.0,17.0
downshift,0.5,30,0.755,5.0,5.0,14.0,13.0
downshift,0.5,30,0.755,4.0,4.0,18.0,18.0
downshift,0.5,30,0.755,4.0,4.0,12.0,12.0
downshift,0.5,30,0.755,16.0,16.0,26.0,26.0
downshift,0.5,30,0.755,8.0,8.0,24.0,24.0
downshift,0.5,30,0.755,1.0,1.0,11.0,9.0
downshift,0.5,30,0.755,6.0,6.0,14.0,13.0
downshift,0.5,30,0.755,12.0,12.0,21.0,18.0
downshift,0.5,30,0.755,5.0,5.0,20.0,24.0
downshift,0.5,30,0.755,2.0,2.0,13.0,13.0
downshift,0.5,30,0.755,5.0,4.0,16.0,16.0
downshift,0.5,30,0.755,10.0,10.0,30.0,30.0
downshift,0.5,30,0.755,6.0,6.0,19.0,20.0
downshift,0.5,30,0.755,4.0,4.0,14.0,14.0
downshift,0.5,30,0.755,5.0,6.0,11.0,11.0
downshift,0.5,30,0.755,5.0,5.0,6.0,6.0
downshift,0.5,30,0.755,6.0,6.0,19.0,19.0
downshift,0.5,30,0.755,7.0,7.0,22.0,15.0
downshift,0.5,30,0.755,6.0,6.0,13.0,13.0
downshift,0.5,30,0.755,7.0,7.0,22.0,24.0
downshift,0.5,30,0.755,4.0,4.0,25.0,25.0
downshift,0.5,30,0.755,16.0,17.0,31.0,32.0
downshift,0.5,30,0.755,8.0,8.0,25.0,25.0
downshift,0.5,30,0.755,1.0,1.0,20.0,20.0
downshift,0.5,30,0.755,2.0,2.0,9.0,9.0
downshift,0.5,30,0.755,8.0,8.0,19.0,19.0
downshift,0.5,30,0.755,7.0,7.0,17.0,16.0
downshift,0.5,30,0.755,6.0,6.0,13.0,13.0
downshift,0.5,30,0.755,3.0,3.0,17.0,18.0
downshift,0.5,30,0.755,13.0,13.0,9.0,20.0
downshift,0.5,30,0.755,10.0,10.0,24.0,24.0
downshift,0.5,30,0.755,4.0,4.0,23.0,23.0
downshift,0.5,30,0.755,2.0,2.0,14.0,13.0
downshift,0.5,30,0.755,1.0,1.0,9.0,9.0
downshift,0.5,30,0.755,4.0,4.0,11.0,11.0
downshift,0.5,30,0.755,19.0,19.0,26.0,25.0
downshift,0.5,30,0.755,4.0,4.0,18.0,17.0
downshift,0.5,30,0.755,6.0,6.0,22.0,22.0
downshift,0.5,30,0.755,3.0,3.0,20.0,20.0
downshift,0.5,30,0.755,1.0,1.0,4.0,4.0
downshift,0.5,30,0.755,4.0,4.0,14.0,14.0
downshift,0.5,30,0.755,3.0,3.0,11.0,11.0
downshift,0.5,30,0.755,6.0,6.0,11.0,10.0
downshift,0.5,30,0.755,4.0,4.0,12.0,11.0
downshift,0.5,30,0.755,7.0,7.0,28.0,28.0
downshift,0.5,30,0.755,10.0,10.0,14.0,14.0
downshift,0.5,30,0.755,9.0,9.0,30.0,29.0
downshift,0.5,30,0.755,7.0,7.0,11.0,10.0
downshift,0.5,30,0.755,1.0,1.0,3.0,3.0
downshift,0.5,30,0.755,4.0,5.0,14.0,14.0
downshift,0.5,30,0.755,7.0,7.0,20.0,20.0
downshift,0.5,30,0.755,7.0,7.0,22.0,22.0
downshift,0.5,30,0.755,7.0,7.0,20.0,19.0
downshift,0.5,30,0.755,1.0,1.0,2.0,4.0
downshift,0.5,30,0.755,4.0,4.0,28.0,28.0
downshift,0.5,30,0.755,2.0,2.0,29.0,29.0
downshift,0.5,30,0.755,4.0,4.0,10.0,10.0
downshift,0.5,30,0.755,9.0,9.0,16.0,16.0
downshift,0.5,30,0.755,8.0,10.0,23.0,23.0
downshift,0.5,30,0.755,9.0,9.0,16.0,16.0
downshift,0.5,30,0.755,3.0,2.0,13.0,13.0
downshift,0.5,30,0.755,4.0,4.0,11.0,11.0
downshift,0.5,30,0.755,1.0,1.0,13.0,13.0
downshift,0.5,30,0.755,1.0,1.0,9.0,9.0
downshift,0.5,30,0.755,7.0,7.0,17.0,16.0
downshift,0.5,30,0.755,1.0,1.0,2.0,2.0
downshift,0.5,30,0.755,4.0,4.0,14.0,12.0
downshift,0.5,30,0.755,11.0,11.0,16.0,16.0
downshift,0.5,30,0.755,5.0,5.0,14.0,14.0
downshift,0.5,30,0.755,4.0,4.0,21.0,21.0
downshift,0.5,30,0.755,7.0,7.0,16.0,15.0
downshift,0.5,30,0.755,6.0,8.0,25.0,25.0
downshift,0.5,30,0.755,3.0,3.0,17.0,17.0
downshift,0.5,30,0.755,7.0,7.0,10.0,10.0
downshift,0.5,30,0.755,4.0,5.0,18.0,18.0
downshift,0.5,30,0.755,17.0,17.0,28.0,28.0
downshift,0.5,30,0.755,6.0,6.0,12.0,10.0
downshift,0.5,30,0.755,4.0,4.0,20.0,20.0
downshift,0.5,30,0.755,7.0,6.0,12.0,12.0
downshift,0.5,30,0.755,1.0,1.0,19.0,19.0
downshift,0.5,30,0.755,3.0,3.0,18.0,18.0
downshift,0.5,30,0.755,7.0,7.0,21.0,21.0
downshift,0.5,30,0.755,18.0,18.0,29.0,29.0
downshift,0.5,30,0.755,1.0,1.0,3.0,3.0
downshift,0.5,30,0.755,1.0,1.0,11.0,12.0
downshift,0.5,30,0.755,3.0,3.0,21.0,21.0
downshift,0.5,30,0.755,1.0,1.0,17.0,18.0
downshift,0.5,30,0.755,2.0,3.0,22.0,22.0
downshift,0.5,30,0.755,13.0,13.0,24.0,24.0
downshift,0.5,30,0.755,3.0,3.0,8.0,8.0
downshift,0.5,30,0.755,5.0,5.0,14.0,14.0
downshift,0.5,30,0.755,5.0,5.0,16.0,24.0
downshift,0.5,30,0.755,5.0,5.0,15.0,16.0
downshift,0.5,30,0.755,3.0,3.0,11.0,11.0
downshift,0.5,30,0.755,3.0,3.0,13.0,13.0
downshift,0.5,30,0.755,12.0,12.0,20.0,20.0
downshift,0.5,30,0.755,1.0,1.0,19.0,19.0
downshift,0.5,30,0.755,7.0,7.0,19.0,18.0
downshift,0.5,30,0.755,10.0,10.0,23.0,23.0
downshift,0.5,30,0.755,3.0,3.0,17.0,17.0
downshift,0.5,30,0.755,3.0,3.0,16.0,16.0
downshift,0.5,30,0.755,4.0,4.0,22.0,25.0
downshift,0.5,30,0.755,9.0,8.0,17.0,21.0
