Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F
stratification,0.5,80,0.155,1.0,1.0,1.0,13.0
stratification,0.5,80,0.155,1.0,1.0,2.0,8.0
stratification,0.5,80,0.155,1.0,1.0,2.0,1.0
stratification,0.5,80,0.155,1.0,1.0,8.0,3.0
stratification,0.5,80,0.155,3.0,2.0,1.0,1.0
stratification,0.5,80,0.155,1.0,1.0,3.0,21.0
stratification,0.5,80,0.155,2.0,1.0,1.0,1.0
stratification,0.5,80,0.155,4.0,1.0,1.0,1.0
stratification,0.5,80,0.155,2.0,1.0,1.0,1.0
stratification,0.5,80,0.155,3.0,1.0,1.0,1.0
stratification,0.5,80,0.155,3.0,1.0,6.0,11.0
stratification,0.5,80,0.155,1.0,2.0,1.0,7.0
stratification,0.5,80,0.155,1.0,1.0,1.0,3.0
stratification,0.5,80,0.155,1.0,1.0,14.0,8.0
stratification,0.5,80,0.155,3.0,1.0,6.0,1.0
stratification,0.5,80,0.155,1.0,6.0,2.0,7.0
stratification,0.5,80,0.155,2.0,1.0,1.0,1.0
stratification,0.5,80,0.155,1.0,3.0,2.0,1.0
stratification,0.5,80,0.155,1.0,6.0,3.0,1.0
stratification,0.5,80,0.155,1.0,9.0,5.0,1.0
stratification,0.5,80,0.155,6.0,2.0,1.0,1.0
stratification,0.5,80,0.155,8.0,1.0,8.0,7.0
stratification,0.5,80,0.155,1.0,5.0,1.0,1.0
stratification,0.5,80,0.155,1.0,1.0,1.0,2.0
stratification,0.5,80,0.155,6.0,1.0,1.0,1.0
stratification,0.5,80,0.155,4.0,3.0,1.0,1.0
stratification,0.5,80,0.155,5.0,4.0,1.0,4.0
stratification,0.5,80,0.155,1.0,2.0,1.0,1.0
stratification,0.5,80,0.155,4.0,1.0,1.0,1.0
stratification,0.5,80,0.155,2.0,1.0,1.0,1.0
stratification,0.5,80,0.155,1.0,10.0,6.0,1.0
stratification,0.5,80,0.155,3.0,3.0,6.0,1.0
stratification,0.5,80,0.155,5.0,1.0,1.0,1.0
stratification,0.5,80,0.155,3.0,1.0,6.0,1.0
stratification,0.5,80,0.155,1.0,1.0,9.0,4.0
stratification,0.5,80,0.155,3.0,1.0,4.0,11.0
stratification,0.5,80,0.155,1.0,14.0,12.0,1.0
stratification,0.5,80,0.155,4.0,2.0,14.0,1.0
stratification,0.5,80,0.155,1.0,1.0,1.0,1.0
stratification,0.5,80,0.155,1.0,1.0,1.0,7.0
stratification,0.5,80,0.155,5.0,1.0,12.0,2.0
stratification,0.5,80,0.155,8.0,1.0,1.0,2.0
stratification,0.5,80,0.155,1.0,1.0,2.0,1.0
stratification,0.5,80,0.155,3.0,1.0,3.0,1.0
stratification,0.5,80,0.155,4.0,8.0,5.0,5.0
stratification,0.5,80,0.155,1.0,1.0,2.0,12.0
stratification,0.5,80,0.155,3.0,1.0,1.0,1.0
stratification,0.5,80,0.155,1.0,10.0,3.0,11.0
stratification,0.5,80,0.155,1.0,1.0,5.0,1.0
stratification,0.5,80,0.155,1.0,2.0,8.0,10.0
stratification,0.5,80,0.155,2.0,6.0,1.0,7.0
stratification,0.5,80,0.155,3.0,5.0,2.0,1.0
stratification,0.5,80,0.155,2.0,2.0,1.0,8.0
stratification,0.5,80,0.155,2.0,22.0,10.0,10.0
stratification,0.5,80,0.155,4.0,1.0,5.0,10.0
stratification,0.5,80,0.155,2.0,2.0,1.0,1.0
stratification,0.5,80,0.155,1.0,1.0,1.0,2.0
stratification,0.5,80,0.155,1.0,1.0,6.0,17.0
stratification,0.5,80,0.155,1.0,1.0,4.0,9.0
stratification,0.5,80,0.155,1.0,1.0,1.0,8.0
stratification,0.5,80,0.155,2.0,1.0,1.0,1.0
stratification,0.5,80,0.155,1.0,1.0,1.0,2.0
stratification,0.5,80,0.155,1.0,1.0,7.0,8.0
stratification,0.5,80,0.155,2.0,1.0,1.0,1.0
stratification,0.5,80,0.155,1.0,12.0,8.0,1.0
stratification,0.5,80,0.155,1.0,3.0,1.0,3.0
stratification,0.5,80,0.155,1.0,1.0,14.0,42.0
stratification,0.5,80,0.155,1.0,3.0,1.0,1.0
stratification,0.5,80,0.155,2.0,14.0,1.0,2.0
stratification,0.5,80,0.155,3.0,3.0,1.0,1.0
stratification,0.5,80,0.155,4.0,1.0,9.0,1.0
stratification,0.5,80,0.155,1.0,4.0,1.0,1.0
stratification,0.5,80,0.155,1.0,1.0,3.0,7.0
stratification,0.5,80,0.155,2.0,1.0,1.0,3.0
stratification,0.5,80,0.155,3.0,1.0,1.0,11.0
stratification,0.5,80,0.155,4.0,8.0,4.0,1.0
stratification,0.5,80,0.155,1.0,2.0,6.0,2.0
stratification,0.5,80,0.155,2.0,4.0,1.0,1.0
stratification,0.5,80,0.155,2.0,1.0,2.0,4.0
stratification,0.5,80,0.155,2.0,1.0,10.0,9.0
stratification,0.5,80,0.155,3.0,10.0,1.0,1.0
stratification,0.5,80,0.155,4.0,6.0,3.0,3.0
stratification,0.5,80,0.155,2.0,1.0,3.0,19.0
stratification,0.5,80,0.155,2.0,4.0,1.0,1.0
stratification,0.5,80,0.155,3.0,13.0,1.0,2.0
stratification,0.5,80,0.155,1.0,3.0,1.0,1.0
stratification,0.5,80,0.155,1.0,1.0,1.0,3.0
stratification,0.5,80,0.155,7.0,2.0,1.0,1.0
stratification,0.5,80,0.155,9.0,8.0,2.0,4.0
stratification,0.5,80,0.155,2.0,2.0,1.0,1.0
stratification,0.5,80,0.155,1.0,14.0,6.0,4.0
stratification,0.5,80,0.155,2.0,1.0,1.0,1.0
stratification,0.5,80,0.155,5.0,3.0,1.0,2.0
stratification,0.5,80,0.155,2.0,1.0,1.0,1.0
stratification,0.5,80,0.155,3.0,3.0,5.0,2.0
stratification,0.5,80,0.155,2.0,9.0,7.0,12.0
stratification,0.5,80,0.155,2.0,1.0,1.0,1.0
stratification,0.5,80,0.155,4.0,1.0,10.0,1.0
stratification,0.5,80,0.155,2.0,1.0,1.0,5.0
stratification,0.5,80,0.155,1.0,1.0,1.0,1.0
stratification,0.5,80,0.155,1.0,6.0,1.0,1.0
stratification,0.5,80,0.155,2.0,3.0,1.0,1.0
stratification,0.5,80,0.155,5.0,1.0,5.0,1.0
stratification,0.5,80,0.155,1.0,4.0,1.0,2.0
stratification,0.5,80,0.155,1.0,1.0,1.0,3.0
stratification,0.5,80,0.155,1.0,1.0,1.0,1.0
stratification,0.5,80,0.155,3.0,1.0,3.0,1.0
stratification,0.5,80,0.155,8.0,13.0,7.0,7.0
stratification,0.5,80,0.155,3.0,3.0,1.0,12.0
stratification,0.5,80,0.155,2.0,1.0,1.0,1.0
stratification,0.5,80,0.155,2.0,11.0,1.0,1.0
stratification,0.5,80,0.155,1.0,3.0,1.0,1.0
stratification,0.5,80,0.155,2.0,20.0,4.0,1.0
stratification,0.5,80,0.155,4.0,1.0,1.0,1.0
stratification,0.5,80,0.155,1.0,1.0,1.0,10.0
stratification,0.5,80,0.155,2.0,1.0,2.0,2.0
stratification,0.5,80,0.155,1.0,1.0,1.0,1.0
stratification,0.5,80,0.155,1.0,1.0,3.0,1.0
stratification,0.5,80,0.155,1.0,1.0,1.0,1.0
stratification,0.5,80,0.155,2.0,1.0,1.0,2.0
stratification,0.5,80,0.155,2.0,1.0,2.0,16.0
stratification,0.5,80,0.155,1.0,1.0,3.0,18.0
stratification,0.5,80,0.155,1.0,5.0,1.0,1.0
stratification,0.5,80,0.155,3.0,4.0,1.0,1.0
stratification,0.5,80,0.155,3.0,3.0,1.0,1.0
stratification,0.5,80,0.155,1.0,6.0,12.0,1.0
stratification,0.5,80,0.155,4.0,1.0,1.0,6.0
stratification,0.5,80,0.155,4.0,1.0,1.0,1.0
stratification,0.5,80,0.155,2.0,1.0,3.0,1.0
stratification,0.5,80,0.155,1.0,11.0,1.0,1.0
stratification,0.5,80,0.155,1.0,1.0,1.0,10.0
stratification,0.5,80,0.155,1.0,5.0,1.0,1.0
stratification,0.5,80,0.155,1.0,1.0,1.0,1.0
stratification,0.5,80,0.155,2.0,1.0,1.0,8.0
stratification,0.5,80,0.155,2.0,1.0,1.0,1.0
stratification,0.5,80,0.155,1.0,17.0,1.0,1.0
stratification,0.5,80,0.155,1.0,1.0,10.0,1.0
stratification,0.5,80,0.155,8.0,1.0,12.0,1.0
stratification,0.5,80,0.155,2.0,1.0,6.0,1.0
stratification,0.5,80,0.155,1.0,1.0,6.0,9.0
stratification,0.5,80,0.155,1.0,14.0,1.0,1.0
stratification,0.5,80,0.155,7.0,4.0,1.0,1.0
stratification,0.5,80,0.155,1.0,1.0,1.0,9.0
stratification,0.5,80,0.155,3.0,1.0,1.0,1.0
stratification,0.5,80,0.155,1.0,2.0,2.0,2.0
stratification,0.5,80,0.155,2.0,1.0,1.0,1.0
stratification,0.5,80,0.155,1.0,5.0,1.0,4.0
stratification,0.5,80,0.155,1.0,1.0,3.0,3.0
stratification,0.5,80,0.155,3.0,1.0,1.0,1.0
stratification,0.5,80,0.155,7.0,2.0,2.0,1.0
stratification,0.5,80,0.155,2.0,1.0,12.0,12.0
stratification,0.5,80,0.155,1.0,1.0,1.0,2.0
stratification,0.5,80,0.155,1.0,5.0,1.0,1.0
stratification,0.5,80,0.155,2.0,1.0,2.0,1.0
stratification,0.5,80,0.155,1.0,5.0,2.0,2.0
stratification,0.5,80,0.155,4.0,8.0,1.0,2.0
stratification,0.5,80,0.155,1.0,1.0,1.0,13.0
stratification,0.5,80,0.155,4.0,3.0,1.0,1.0
stratification,0.5,80,0.155,4.0,3.0,1.0,1.0
stratification,0.5,80,0.155,1.0,3.0,2.0,1.0
stratification,0.5,80,0.155,4.0,1.0,6.0,1.0
stratification,0.5,80,0.155,1.0,2.0,1.0,4.0
stratification,0.5,80,0.155,3.0,7.0,9.0,2.0
stratification,0.5,80,0.155,1.0,1.0,1.0,1.0
stratification,0.5,80,0.155,5.0,7.0,6.0,1.0
stratification,0.5,80,0.155,1.0,1.0,1.0,15.0
stratification,0.5,80,0.155,1.0,1.0,2.0,6.0
stratification,0.5,80,0.155,1.0,1.0,1.0,1.0
stratification,0.5,80,0.155,1.0,13.0,4.0,4.0
stratification,0.5,80,0.155,3.0,1.0,1.0,6.0
stratification,0.5,80,0.155,9.0,14.0,4.0,9.0
stratification,0.5,80,0.155,1.0,1.0,1.0,1.0
stratification,0.5,80,0.155,1.0,1.0,1.0,1.0
stratification,0.5,80,0.155,1.0,6.0,4.0,3.0
stratification,0.5,80,0.155,2.0,16.0,10.0,5.0
stratification,0.5,80,0.155,2.0,2.0,1.0,1.0
stratification,0.5,80,0.155,1.0,1.0,5.0,2.0
stratification,0.5,80,0.155,3.0,1.0,15.0,1.0
stratification,0.5,80,0.155,5.0,8.0,6.0,8.0
stratification,0.5,80,0.155,1.0,1.0,1.0,1.0
stratification,0.5,80,0.155,3.0,1.0,5.0,9.0
stratification,0.5,80,0.155,1.0,1.0,8.0,10.0
stratification,0.5,80,0.155,1.0,1.0,5.0,9.0
stratification,0.5,80,0.155,2.0,2.0,3.0,5.0
stratification,0.5,80,0.155,2.0,17.0,3.0,11.0
stratification,0.5,80,0.155,1.0,1.0,1.0,2.0
stratification,0.5,80,0.155,1.0,1.0,1.0,1.0
stratification,0.5,80,0.155,1.0,1.0,1.0,2.0
stratification,0.5,80,0.155,1.0,1.0,6.0,1.0
stratification,0.5,80,0.155,1.0,2.0,1.0,34.0
stratification,0.5,80,0.155,4.0,1.0,1.0,1.0
stratification,0.5,80,0.155,1.0,5.0,2.0,5.0
stratification,0.5,80,0.155,1.0,1.0,23.0,7.0
stratification,0.5,80,0.155,3.0,4.0,7.0,11.0
stratification,0.5,80,0.155,1.0,1.0,9.0,15.0
stratification,0.5,80,0.155,2.0,3.0,1.0,1.0
stratification,0.5,80,0.155,2.0,4.0,10.0,23.0
stratification,0.5,80,0.155,2.0,9.0,1.0,1.0
stratification,0.5,80,0.155,1.0,4.0,1.0,1.0
stratification,0.5,80,0.155,2.0,3.0,1.0,1.0
stratification,0.5,80,0.155,1.0,18.0,1.0,5.0
stratification,0.5,80,0.155,1.0,7.0,4.0,9.0
stratification,0.5,80,0.155,2.0,1.0,1.0,3.0
stratification,0.5,80,0.155,2.0,1.0,1.0,2.0
stratification,0.5,80,0.155,2.0,4.0,1.0,1.0
stratification,0.5,80,0.155,2.0,2.0,11.0,1.0
