Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F
downtrend,0.5,50,0.755,5.0,5.0,39.0,36.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,38.0
downtrend,0.5,50,0.755,3.0,3.0,38.0,37.0
downtrend,0.5,50,0.755,6.0,4.0,38.0,37.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,36.0
downtrend,0.5,50,0.755,5.0,4.0,38.0,37.0
downtrend,0.5,50,0.755,5.0,4.0,39.0,37.0
downtrend,0.5,50,0.755,7.0,6.0,38.0,37.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,38.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,36.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,4.0,39.0,37.0
downtrend,0.5,50,0.755,7.0,4.0,39.0,35.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,36.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,36.0
downtrend,0.5,50,0.755,4.0,4.0,39.0,38.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,38.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,36.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,36.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,36.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,38.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,4.0,39.0,38.0
downtrend,0.5,50,0.755,5.0,5.0,38.0,37.0
downtrend,0.5,50,0.755,5.0,5.0,38.0,38.0
downtrend,0.5,50,0.755,4.0,4.0,39.0,36.0
downtrend,0.5,50,0.755,6.0,3.0,39.0,37.0
downtrend,0.5,50,0.755,6.0,5.0,38.0,35.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,38.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,4.0,39.0,36.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,38.0
downtrend,0.5,50,0.755,6.0,4.0,38.0,37.0
downtrend,0.5,50,0.755,5.0,5.0,38.0,37.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,38.0
downtrend,0.5,50,0.755,5.0,5.0,40.0,35.0
downtrend,0.5,50,0.755,6.0,6.0,40.0,36.0
downtrend,0.5,50,0.755,5.0,4.0,39.0,35.0
downtrend,0.5,50,0.755,6.0,6.0,38.0,37.0
downtrend,0.5,50,0.755,6.0,5.0,38.0,37.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,36.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,35.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,37.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,36.0
downtrend,0.5,50,0.755,4.0,4.0,39.0,36.0
downtrend,0.5,50,0.755,6.0,5.0,40.0,37.0
downtrend,0.5,50,0.755,5.0,5.0,38.0,37.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,38.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,38.0
downtrend,0.5,50,0.755,6.0,6.0,40.0,37.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,36.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,36.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,36.0
downtrend,0.5,50,0.755,5.0,4.0,39.0,37.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,7.0,7.0,38.0,36.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,38.0
downtrend,0.5,50,0.755,6.0,6.0,38.0,38.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,4.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,4.0,39.0,38.0
downtrend,0.5,50,0.755,7.0,6.0,38.0,37.0
downtrend,0.5,50,0.755,5.0,5.0,38.0,38.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,36.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,6.0,6.0,38.0,38.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,35.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,6.0,6.0,38.0,36.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,6.0,5.0,38.0,37.0
downtrend,0.5,50,0.755,5.0,3.0,38.0,36.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,36.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,39.0
downtrend,0.5,50,0.755,4.0,4.0,38.0,36.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,37.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,36.0
downtrend,0.5,50,0.755,5.0,4.0,39.0,36.0
downtrend,0.5,50,0.755,3.0,3.0,38.0,36.0
downtrend,0.5,50,0.755,6.0,5.0,38.0,35.0
downtrend,0.5,50,0.755,6.0,4.0,39.0,37.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,38.0
downtrend,0.5,50,0.755,4.0,4.0,40.0,36.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,36.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,36.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,36.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,38.0
downtrend,0.5,50,0.755,5.0,5.0,40.0,38.0
downtrend,0.5,50,0.755,6.0,5.0,38.0,37.0
downtrend,0.5,50,0.755,7.0,6.0,39.0,36.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,36.0
downtrend,0.5,50,0.755,5.0,4.0,39.0,36.0
downtrend,0.5,50,0.755,7.0,7.0,39.0,36.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,36.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,6.0,5.0,40.0,37.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,38.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,36.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,4.0,39.0,37.0
downtrend,0.5,50,0.755,7.0,7.0,38.0,37.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,36.0
downtrend,0.5,50,0.755,5.0,4.0,39.0,35.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,36.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,4.0,39.0,36.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,36.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,36.0
downtrend,0.5,50,0.755,5.0,5.0,38.0,37.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,36.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,6.0,5.0,38.0,37.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,36.0
downtrend,0.5,50,0.755,6.0,4.0,40.0,37.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,36.0
downtrend,0.5,50,0.755,6.0,6.0,38.0,37.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,36.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,36.0
downtrend,0.5,50,0.755,6.0,6.0,38.0,37.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,38.0
downtrend,0.5,50,0.755,6.0,4.0,38.0,36.0
downtrend,0.5,50,0.755,5.0,4.0,39.0,36.0
downtrend,0.5,50,0.755,5.0,4.0,39.0,35.0
downtrend,0.5,50,0.755,6.0,5.0,38.0,36.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,36.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,4.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,39.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,37.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,5.0,38.0,38.0
downtrend,0.5,50,0.755,5.0,4.0,39.0,36.0
downtrend,0.5,50,0.755,5.0,4.0,38.0,39.0
downtrend,0.5,50,0.755,5.0,5.0,38.0,38.0
downtrend,0.5,50,0.755,4.0,4.0,38.0,37.0
downtrend,0.5,50,0.755,5.0,4.0,39.0,36.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,38.0
downtrend,0.5,50,0.755,5.0,4.0,38.0,37.0
downtrend,0.5,50,0.755,5.0,5.0,38.0,38.0
downtrend,0.5,50,0.755,6.0,5.0,38.0,37.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,4.0,38.0,36.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,36.0
downtrend,0.5,50,0.755,6.0,3.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,4.0,40.0,37.0
downtrend,0.5,50,0.755,5.0,5.0,38.0,38.0
downtrend,0.5,50,0.755,4.0,4.0,38.0,39.0
downtrend,0.5,50,0.755,7.0,6.0,38.0,38.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,38.0
downtrend,0.5,50,0.755,7.0,7.0,38.0,35.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,35.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,6.0,5.0,38.0,37.0
downtrend,0.5,50,0.755,6.0,4.0,38.0,36.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,36.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,38.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,36.0
downtrend,0.5,50,0.755,5.0,4.0,39.0,36.0
downtrend,0.5,50,0.755,6.0,4.0,39.0,37.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,37.0
downtrend,0.5,50,0.755,6.0,5.0,38.0,36.0
downtrend,0.5,50,0.755,6.0,5.0,38.0,36.0
downtrend,0.5,50,0.755,6.0,6.0,38.0,37.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,4.0,39.0,36.0
downtrend,0.5,50,0.755,5.0,4.0,39.0,36.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,6.0,5.0,38.0,38.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,5.0,38.0,38.0
downtrend,0.5,50,0.755,5.0,5.0,38.0,36.0
downtrend,0.5,50,0.755,4.0,4.0,40.0,38.0
downtrend,0.5,50,0.755,5.0,4.0,38.0,38.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,37.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,35.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,35.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,39.0
downtrend,0.5,50,0.755,6.0,4.0,39.0,37.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,35.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,5.0,38.0,39.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,38.0
downtrend,0.5,50,0.755,6.0,5.0,38.0,37.0
downtrend,0.5,50,0.755,6.0,5.0,38.0,36.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,38.0
downtrend,0.5,50,0.755,7.0,7.0,39.0,36.0
downtrend,0.5,50,0.755,7.0,7.0,39.0,38.0
downtrend,0.5,50,0.755,5.0,4.0,39.0,37.0
downtrend,0.5,50,0.755,6.0,6.0,38.0,38.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,4.0,4.0,39.0,37.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,4.0,39.0,37.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,39.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,36.0
downtrend,0.5,50,0.755,6.0,6.0,38.0,38.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,36.0
downtrend,0.5,50,0.755,7.0,6.0,39.0,36.0
downtrend,0.5,50,0.755,3.0,3.0,38.0,37.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,38.0
downtrend,0.5,50,0.755,5.0,4.0,39.0,36.0
downtrend,0.5,50,0.755,6.0,6.0,38.0,36.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,35.0
downtrend,0.5,50,0.755,4.0,4.0,39.0,36.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,5.0,38.0,37.0
downtrend,0.5,50,0.755,6.0,5.0,38.0,36.0
downtrend,0.5,50,0.755,6.0,6.0,40.0,35.0
downtrend,0.5,50,0.755,5.0,4.0,38.0,37.0
downtrend,0.5,50,0.755,6.0,5.0,38.0,38.0
downtrend,0.5,50,0.755,4.0,4.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,4.0,38.0,37.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,36.0
downtrend,0.5,50,0.755,5.0,4.0,39.0,37.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,36.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,38.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,36.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,36.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,36.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,36.0
downtrend,0.5,50,0.755,6.0,5.0,39.0,38.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,38.0
downtrend,0.5,50,0.755,6.0,6.0,39.0,36.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,36.0
downtrend,0.5,50,0.755,4.0,4.0,39.0,37.0
downtrend,0.5,50,0.755,6.0,5.0,38.0,36.0
downtrend,0.5,50,0.755,5.0,4.0,39.0,37.0
downtrend,0.5,50,0.755,5.0,5.0,39.0,37.0
downtrend,0.5,50,0.755,6.0,6.0,40.0,39.0
downtrend,0.5,50,0.755,4.0,3.0,39.0,35.0
