Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=F,convn_CS=T,convn_CS=F
cyclic,0.95,50,1.28,18.0,25.0,42.0,50.0
cyclic,0.95,50,1.28,9.0,10.0,25.0,27.0
cyclic,0.95,50,1.28,3.0,5.0,17.0,19.0
cyclic,0.95,50,1.28,33.0,44.0,49.0,50.0
cyclic,0.95,50,1.28,8.0,19.0,24.0,25.0
cyclic,0.95,50,1.28,9.0,10.0,32.0,33.0
cyclic,0.95,50,1.28,9.0,17.0,41.0,42.0
cyclic,0.95,50,1.28,10.0,34.0,40.0,41.0
cyclic,0.95,50,1.28,1.0,3.0,17.0,18.0
cyclic,0.95,50,1.28,10.0,10.0,33.0,41.0
cyclic,0.95,50,1.28,9.0,16.0,24.0,25.0
cyclic,0.95,50,1.28,18.0,35.0,41.0,43.0
cyclic,0.95,50,1.28,10.0,18.0,33.0,41.0
cyclic,0.95,50,1.28,10.0,24.0,49.0,49.0
cyclic,0.95,50,1.28,9.0,17.0,25.0,41.0
cyclic,0.95,50,1.28,10.0,12.0,26.0,42.0
cyclic,0.95,50,1.28,9.0,11.0,26.0,27.0
cyclic,0.95,50,1.28,9.0,17.0,24.0,25.0
cyclic,0.95,50,1.28,9.0,19.0,41.0,42.0
cyclic,0.95,50,1.28,9.0,11.0,18.0,18.0
cyclic,0.95,50,1.28,17.0,18.0,26.0,26.0
cyclic,0.95,50,1.28,10.0,11.0,33.0,41.0
cyclic,0.95,50,1.28,3.0,10.0,19.0,26.0
cyclic,0.95,50,1.28,16.0,27.0,32.0,33.0
cyclic,0.95,50,1.28,25.0,27.0,48.0,49.0
cyclic,0.95,50,1.28,9.0,20.0,26.0,27.0
cyclic,0.95,50,1.28,10.0,11.0,25.0,26.0
cyclic,0.95,50,1.28,9.0,23.0,27.0,34.0
cyclic,0.95,50,1.28,10.0,12.0,33.0,34.0
cyclic,0.95,50,1.28,11.0,17.0,25.0,26.0
cyclic,0.95,50,1.28,9.0,10.0,16.0,17.0
cyclic,0.95,50,1.28,10.0,12.0,33.0,34.0
cyclic,0.95,50,1.28,9.0,18.0,25.0,26.0
cyclic,0.95,50,1.28,17.0,18.0,25.0,26.0
cyclic,0.95,50,1.28,10.0,19.0,33.0,34.0
cyclic,0.95,50,1.28,10.0,18.0,41.0,42.0
cyclic,0.95,50,1.28,9.0,11.0,33.0,34.0
cyclic,0.95,50,1.28,18.0,20.0,41.0,42.0
cyclic,0.95,50,1.28,3.0,12.0,25.0,27.0
cyclic,0.95,50,1.28,1.0,3.0,16.0,17.0
cyclic,0.95,50,1.28,18.0,24.0,33.0,27.0
cyclic,0.95,50,1.28,10.0,18.0,33.0,42.0
cyclic,0.95,50,1.28,10.0,18.0,32.0,33.0
cyclic,0.95,50,1.28,8.0,11.0,41.0,42.0
cyclic,0.95,50,1.28,9.0,10.0,26.0,34.0
cyclic,0.95,50,1.28,10.0,20.0,41.0,42.0
cyclic,0.95,50,1.28,18.0,26.0,33.0,34.0
cyclic,0.95,50,1.28,10.0,20.0,34.0,42.0
cyclic,0.95,50,1.28,18.0,24.0,33.0,34.0
cyclic,0.95,50,1.28,11.0,19.0,41.0,42.0
cyclic,0.95,50,1.28,9.0,10.0,24.0,26.0
cyclic,0.95,50,1.28,9.0,26.0,34.0,35.0
cyclic,0.95,50,1.28,11.0,19.0,25.0,26.0
cyclic,0.95,50,1.28,2.0,11.0,33.0,35.0
cyclic,0.95,50,1.28,1.0,2.0,33.0,34.0
cyclic,0.95,50,1.28,2.0,7.0,17.0,18.0
cyclic,0.95,50,1.28,10.0,11.0,25.0,26.0
cyclic,0.95,50,1.28,9.0,17.0,25.0,26.0
cyclic,0.95,50,1.28,8.0,18.0,26.0,26.0
cyclic,0.95,50,1.28,8.0,10.0,19.0,18.0
cyclic,0.95,50,1.28,9.0,16.0,25.0,26.0
cyclic,0.95,50,1.28,10.0,10.0,26.0,34.0
cyclic,0.95,50,1.28,10.0,15.0,34.0,42.0
cyclic,0.95,50,1.28,9.0,12.0,19.0,19.0
cyclic,0.95,50,1.28,9.0,10.0,26.0,33.0
cyclic,0.95,50,1.28,11.0,19.0,34.0,42.0
cyclic,0.95,50,1.28,9.0,26.0,41.0,41.0
cyclic,0.95,50,1.28,10.0,19.0,42.0,50.0
cyclic,0.95,50,1.28,9.0,19.0,41.0,42.0
cyclic,0.95,50,1.28,10.0,20.0,33.0,34.0
cyclic,0.95,50,1.28,18.0,23.0,32.0,33.0
cyclic,0.95,50,1.28,9.0,10.0,25.0,25.0
cyclic,0.95,50,1.28,9.0,20.0,32.0,33.0
cyclic,0.95,50,1.28,9.0,19.0,26.0,27.0
cyclic,0.95,50,1.28,17.0,17.0,33.0,34.0
cyclic,0.95,50,1.28,8.0,11.0,24.0,25.0
cyclic,0.95,50,1.28,19.0,26.0,33.0,34.0
cyclic,0.95,50,1.28,19.0,19.0,27.0,27.0
cyclic,0.95,50,1.28,2.0,11.0,25.0,25.0
cyclic,0.95,50,1.28,9.0,12.0,34.0,42.0
cyclic,0.95,50,1.28,18.0,26.0,40.0,41.0
cyclic,0.95,50,1.28,4.0,19.0,41.0,42.0
cyclic,0.95,50,1.28,10.0,18.0,33.0,27.0
cyclic,0.95,50,1.28,9.0,11.0,33.0,33.0
cyclic,0.95,50,1.28,10.0,19.0,33.0,42.0
cyclic,0.95,50,1.28,11.0,17.0,33.0,34.0
cyclic,0.95,50,1.28,9.0,19.0,25.0,26.0
cyclic,0.95,50,1.28,10.0,11.0,32.0,33.0
cyclic,0.95,50,1.28,3.0,26.0,27.0,27.0
cyclic,0.95,50,1.28,11.0,28.0,41.0,42.0
cyclic,0.95,50,1.28,18.0,20.0,33.0,42.0
cyclic,0.95,50,1.28,10.0,12.0,26.0,34.0
cyclic,0.95,50,1.28,9.0,12.0,25.0,26.0
cyclic,0.95,50,1.28,9.0,11.0,25.0,26.0
cyclic,0.95,50,1.28,10.0,12.0,26.0,27.0
cyclic,0.95,50,1.28,9.0,19.0,25.0,26.0
cyclic,0.95,50,1.28,9.0,19.0,33.0,34.0
cyclic,0.95,50,1.28,9.0,17.0,33.0,34.0
cyclic,0.95,50,1.28,9.0,11.0,25.0,26.0
cyclic,0.95,50,1.28,10.0,17.0,33.0,35.0
cyclic,0.95,50,1.28,10.0,11.0,25.0,27.0
cyclic,0.95,50,1.28,3.0,17.0,25.0,26.0
cyclic,0.95,50,1.28,18.0,29.0,42.0,58.0
cyclic,0.95,50,1.28,17.0,27.0,41.0,42.0
cyclic,0.95,50,1.28,18.0,20.0,32.0,34.0
cyclic,0.95,50,1.28,9.0,11.0,25.0,26.0
cyclic,0.95,50,1.28,8.0,19.0,32.0,33.0
cyclic,0.95,50,1.28,9.0,11.0,17.0,26.0
cyclic,0.95,50,1.28,9.0,18.0,25.0,26.0
cyclic,0.95,50,1.28,10.0,18.0,32.0,34.0
cyclic,0.95,50,1.28,2.0,19.0,33.0,34.0
cyclic,0.95,50,1.28,9.0,19.0,41.0,42.0
cyclic,0.95,50,1.28,9.0,31.0,41.0,49.0
cyclic,0.95,50,1.28,26.0,27.0,34.0,42.0
cyclic,0.95,50,1.28,9.0,19.0,32.0,26.0
cyclic,0.95,50,1.28,9.0,11.0,26.0,26.0
cyclic,0.95,50,1.28,25.0,25.0,33.0,34.0
cyclic,0.95,50,1.28,17.0,23.0,33.0,26.0
cyclic,0.95,50,1.28,10.0,18.0,34.0,35.0
cyclic,0.95,50,1.28,9.0,10.0,33.0,42.0
cyclic,0.95,50,1.28,9.0,19.0,33.0,34.0
cyclic,0.95,50,1.28,18.0,23.0,33.0,34.0
cyclic,0.95,50,1.28,9.0,10.0,16.0,17.0
cyclic,0.95,50,1.28,10.0,12.0,25.0,26.0
cyclic,0.95,50,1.28,18.0,25.0,32.0,34.0
cyclic,0.95,50,1.28,10.0,18.0,32.0,33.0
cyclic,0.95,50,1.28,9.0,42.0,41.0,49.0
cyclic,0.95,50,1.28,11.0,16.0,25.0,26.0
cyclic,0.95,50,1.28,10.0,12.0,26.0,42.0
cyclic,0.95,50,1.28,5.0,18.0,33.0,34.0
cyclic,0.95,50,1.28,11.0,18.0,25.0,34.0
cyclic,0.95,50,1.28,19.0,26.0,33.0,34.0
cyclic,0.95,50,1.28,9.0,17.0,40.0,41.0
cyclic,0.95,50,1.28,9.0,10.0,25.0,26.0
cyclic,0.95,50,1.28,11.0,21.0,41.0,42.0
cyclic,0.95,50,1.28,17.0,18.0,33.0,57.0
cyclic,0.95,50,1.28,10.0,19.0,26.0,34.0
cyclic,0.95,50,1.28,10.0,18.0,25.0,26.0
cyclic,0.95,50,1.28,9.0,11.0,25.0,33.0
cyclic,0.95,50,1.28,9.0,10.0,33.0,34.0
cyclic,0.95,50,1.28,10.0,12.0,26.0,27.0
cyclic,0.95,50,1.28,10.0,18.0,32.0,33.0
cyclic,0.95,50,1.28,18.0,24.0,41.0,42.0
cyclic,0.95,50,1.28,10.0,19.0,25.0,26.0
cyclic,0.95,50,1.28,9.0,22.0,33.0,42.0
cyclic,0.95,50,1.28,10.0,11.0,41.0,42.0
cyclic,0.95,50,1.28,9.0,12.0,25.0,33.0
cyclic,0.95,50,1.28,10.0,11.0,33.0,34.0
cyclic,0.95,50,1.28,9.0,19.0,25.0,33.0
cyclic,0.95,50,1.28,10.0,20.0,25.0,26.0
cyclic,0.95,50,1.28,9.0,10.0,27.0,33.0
cyclic,0.95,50,1.28,17.0,19.0,33.0,34.0
cyclic,0.95,50,1.28,9.0,10.0,27.0,33.0
cyclic,0.95,50,1.28,10.0,18.0,32.0,34.0
cyclic,0.95,50,1.28,10.0,19.0,33.0,34.0
cyclic,0.95,50,1.28,9.0,18.0,32.0,34.0
cyclic,0.95,50,1.28,19.0,48.0,49.0,50.0
cyclic,0.95,50,1.28,26.0,43.0,42.0,50.0
cyclic,0.95,50,1.28,9.0,15.0,18.0,18.0
cyclic,0.95,50,1.28,9.0,14.0,24.0,25.0
cyclic,0.95,50,1.28,9.0,17.0,32.0,34.0
cyclic,0.95,50,1.28,10.0,11.0,26.0,26.0
cyclic,0.95,50,1.28,25.0,27.0,34.0,34.0
cyclic,0.95,50,1.28,10.0,12.0,18.0,26.0
cyclic,0.95,50,1.28,18.0,26.0,33.0,34.0
cyclic,0.95,50,1.28,9.0,39.0,41.0,42.0
cyclic,0.95,50,1.28,2.0,3.0,17.0,18.0
cyclic,0.95,50,1.28,17.0,28.0,41.0,42.0
cyclic,0.95,50,1.28,9.0,10.0,33.0,34.0
cyclic,0.95,50,1.28,9.0,10.0,25.0,33.0
cyclic,0.95,50,1.28,9.0,12.0,33.0,34.0
cyclic,0.95,50,1.28,16.0,25.0,41.0,42.0
cyclic,0.95,50,1.28,9.0,13.0,25.0,26.0
cyclic,0.95,50,1.28,9.0,12.0,26.0,34.0
cyclic,0.95,50,1.28,10.0,17.0,33.0,35.0
cyclic,0.95,50,1.28,16.0,19.0,32.0,34.0
cyclic,0.95,50,1.28,25.0,42.0,42.0,50.0
cyclic,0.95,50,1.28,17.0,26.0,32.0,34.0
cyclic,0.95,50,1.28,26.0,27.0,34.0,34.0
cyclic,0.95,50,1.28,10.0,18.0,34.0,35.0
cyclic,0.95,50,1.28,10.0,28.0,34.0,35.0
cyclic,0.95,50,1.28,17.0,18.0,32.0,34.0
cyclic,0.95,50,1.28,1.0,10.0,25.0,26.0
cyclic,0.95,50,1.28,9.0,23.0,33.0,34.0
cyclic,0.95,50,1.28,9.0,17.0,33.0,34.0
cyclic,0.95,50,1.28,17.0,18.0,34.0,42.0
cyclic,0.95,50,1.28,18.0,26.0,34.0,41.0
cyclic,0.95,50,1.28,18.0,35.0,42.0,42.0
cyclic,0.95,50,1.28,17.0,19.0,27.0,27.0
cyclic,0.95,50,1.28,10.0,13.0,26.0,26.0
cyclic,0.95,50,1.28,9.0,11.0,33.0,41.0
cyclic,0.95,50,1.28,10.0,24.0,26.0,34.0
cyclic,0.95,50,1.28,9.0,26.0,41.0,41.0
cyclic,0.95,50,1.28,10.0,11.0,33.0,34.0
cyclic,0.95,50,1.28,9.0,18.0,33.0,34.0
cyclic,0.95,50,1.28,10.0,25.0,33.0,34.0
cyclic,0.95,50,1.28,3.0,26.0,26.0,34.0
cyclic,0.95,50,1.28,9.0,11.0,25.0,41.0
cyclic,0.95,50,1.28,9.0,10.0,26.0,33.0
cyclic,0.95,50,1.28,10.0,18.0,33.0,34.0
cyclic,0.95,50,1.28,10.0,42.0,49.0,50.0
cyclic,0.95,50,1.28,9.0,11.0,33.0,34.0
cyclic,0.95,50,1.28,9.0,20.0,33.0,34.0
cyclic,0.95,50,1.28,9.0,18.0,33.0,35.0
cyclic,0.95,50,1.28,10.0,17.0,33.0,34.0
cyclic,0.95,50,1.28,26.0,49.0,49.0,50.0
cyclic,0.95,50,1.28,10.0,18.0,25.0,27.0
cyclic,0.95,50,1.28,18.0,19.0,34.0,42.0
cyclic,0.95,50,1.28,9.0,28.0,33.0,34.0
cyclic,0.95,50,1.28,1.0,3.0,24.0,25.0
cyclic,0.95,50,1.28,10.0,18.0,32.0,33.0
cyclic,0.95,50,1.28,9.0,11.0,25.0,34.0
cyclic,0.95,50,1.28,9.0,10.0,25.0,26.0
cyclic,0.95,50,1.28,9.0,16.0,25.0,26.0
cyclic,0.95,50,1.28,9.0,50.0,49.0,50.0
cyclic,0.95,50,1.28,10.0,48.0,58.0,58.0
cyclic,0.95,50,1.28,10.0,11.0,26.0,35.0
cyclic,0.95,50,1.28,18.0,20.0,33.0,34.0
cyclic,0.95,50,1.28,9.0,19.0,17.0,26.0
cyclic,0.95,50,1.28,17.0,35.0,41.0,42.0
cyclic,0.95,50,1.28,33.0,35.0,57.0,57.0
cyclic,0.95,50,1.28,1.0,8.0,17.0,18.0
cyclic,0.95,50,1.28,8.0,15.0,25.0,27.0
cyclic,0.95,50,1.28,9.0,11.0,25.0,42.0
cyclic,0.95,50,1.28,9.0,11.0,26.0,26.0
cyclic,0.95,50,1.28,9.0,10.0,33.0,42.0
cyclic,0.95,50,1.28,9.0,11.0,17.0,18.0
cyclic,0.95,50,1.28,19.0,20.0,35.0,35.0
cyclic,0.95,50,1.28,10.0,20.0,33.0,34.0
cyclic,0.95,50,1.28,9.0,9.0,33.0,41.0
cyclic,0.95,50,1.28,10.0,11.0,25.0,26.0
cyclic,0.95,50,1.28,11.0,18.0,25.0,27.0
cyclic,0.95,50,1.28,11.0,28.0,41.0,42.0
cyclic,0.95,50,1.28,17.0,19.0,25.0,26.0
cyclic,0.95,50,1.28,8.0,28.0,41.0,42.0
cyclic,0.95,50,1.28,26.0,28.0,49.0,58.0
cyclic,0.95,50,1.28,9.0,20.0,32.0,34.0
cyclic,0.95,50,1.28,3.0,12.0,25.0,26.0
cyclic,0.95,50,1.28,4.0,20.0,34.0,35.0
cyclic,0.95,50,1.28,10.0,25.0,34.0,34.0
cyclic,0.95,50,1.28,1.0,16.0,25.0,25.0
cyclic,0.95,50,1.28,11.0,51.0,41.0,58.0
cyclic,0.95,50,1.28,9.0,18.0,35.0,42.0
cyclic,0.95,50,1.28,11.0,17.0,33.0,35.0
cyclic,0.95,50,1.28,9.0,9.0,17.0,18.0
cyclic,0.95,50,1.28,17.0,18.0,41.0,42.0
cyclic,0.95,50,1.28,9.0,11.0,24.0,26.0
cyclic,0.95,50,1.28,17.0,18.0,41.0,42.0
cyclic,0.95,50,1.28,17.0,18.0,41.0,42.0
cyclic,0.95,50,1.28,9.0,18.0,27.0,27.0
cyclic,0.95,50,1.28,17.0,20.0,35.0,42.0
cyclic,0.95,50,1.28,5.0,20.0,26.0,27.0
cyclic,0.95,50,1.28,10.0,11.0,25.0,34.0
cyclic,0.95,50,1.28,20.0,27.0,33.0,34.0
cyclic,0.95,50,1.28,9.0,10.0,26.0,27.0
cyclic,0.95,50,1.28,8.0,11.0,17.0,18.0
cyclic,0.95,50,1.28,19.0,28.0,50.0,98.0
cyclic,0.95,50,1.28,17.0,27.0,33.0,34.0
cyclic,0.95,50,1.28,6.0,19.0,49.0,50.0
cyclic,0.95,50,1.28,18.0,19.0,34.0,41.0
cyclic,0.95,50,1.28,9.0,18.0,25.0,26.0
cyclic,0.95,50,1.28,9.0,25.0,41.0,42.0
cyclic,0.95,50,1.28,25.0,34.0,41.0,42.0
cyclic,0.95,50,1.28,18.0,26.0,33.0,34.0
cyclic,0.95,50,1.28,11.0,20.0,42.0,43.0
