Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=T_Unlu
upshift,0.95,30,0.005,9.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,6.0,14.0
upshift,0.95,30,0.005,1.0,12.0
upshift,0.95,30,0.005,7.0,4.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,3.0,2.0
upshift,0.95,30,0.005,2.0,3.0
upshift,0.95,30,0.005,1.0,18.0
upshift,0.95,30,0.005,4.0,6.0
upshift,0.95,30,0.005,9.0,30.0
upshift,0.95,30,0.005,6.0,1.0
upshift,0.95,30,0.005,15.0,15.0
upshift,0.95,30,0.005,1.0,11.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,24.0
upshift,0.95,30,0.005,16.0,15.0
upshift,0.95,30,0.005,3.0,5.0
upshift,0.95,30,0.005,8.0,9.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,8.0
upshift,0.95,30,0.005,8.0,11.0
upshift,0.95,30,0.005,13.0,1.0
upshift,0.95,30,0.005,3.0,3.0
upshift,0.95,30,0.005,2.0,4.0
upshift,0.95,30,0.005,7.0,6.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,2.0
upshift,0.95,30,0.005,2.0,15.0
upshift,0.95,30,0.005,3.0,3.0
upshift,0.95,30,0.005,23.0,21.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,11.0,7.0
upshift,0.95,30,0.005,4.0,15.0
upshift,0.95,30,0.005,13.0,1.0
upshift,0.95,30,0.005,3.0,1.0
upshift,0.95,30,0.005,3.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,20.0
upshift,0.95,30,0.005,12.0,1.0
upshift,0.95,30,0.005,2.0,10.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,5.0,20.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,18.0,7.0
upshift,0.95,30,0.005,3.0,1.0
upshift,0.95,30,0.005,5.0,12.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,7.0,1.0
upshift,0.95,30,0.005,11.0,21.0
upshift,0.95,30,0.005,23.0,1.0
upshift,0.95,30,0.005,7.0,10.0
upshift,0.95,30,0.005,3.0,16.0
upshift,0.95,30,0.005,14.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,7.0,16.0
upshift,0.95,30,0.005,3.0,1.0
upshift,0.95,30,0.005,1.0,18.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,4.0
upshift,0.95,30,0.005,1.0,12.0
upshift,0.95,30,0.005,14.0,12.0
upshift,0.95,30,0.005,4.0,1.0
upshift,0.95,30,0.005,1.0,9.0
upshift,0.95,30,0.005,6.0,12.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,7.0,4.0
upshift,0.95,30,0.005,16.0,5.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,6.0,5.0
upshift,0.95,30,0.005,24.0,12.0
upshift,0.95,30,0.005,23.0,16.0
upshift,0.95,30,0.005,1.0,1.0
